season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,opponent1,opponent2,opponent3,opponent4
1949-50,Tri-Cities Blackhawks,Wharton Field House,29,0.453,0.4,R. Potter/R. Auerbach,D. Otten (5.2),#C81430,#FEB93B,-1.43,Lost Division Semifinals versus <span>Anderson Packers (1-2)</span>,,,
1950-51,Tri-Cities Blackhawks,Wharton Field House,25,0.368,0,D. McMillan/J. Logan/M. Todorovich,F. Brian (5.6),#C81430,#FEB93B,-3.22,,,,
1951-52,Milwaukee Hawks,Milwaukee Arena,17,0.258,0,D. Moore,D. Otten (5.6),#C81430,#FEB93B,-7.04,,,,
1952-53,Milwaukee Hawks,Milwaukee Arena,27,0.38,0,A. Levane,M. Hutchins (6.9),#C81430,#FEB93B,-2.49,,,,
1953-54,Milwaukee Hawks,Milwaukee Arena,21,0.292,0,A. Levane/R. Holzman,G. Ratkovicz (5.2),#C81430,#FEB93B,-4.55,,,,
1954-55,Milwaukee Hawks,Milwaukee Arena,26,0.361,0,R. Holzman,B. Pettit (10.7),#C81430,#FEB93B,-2.66,,,,
1955-56,St. Louis Hawks,Kiel Auditorium,33,0.458,0.6,R. Holzman,B. Pettit (13.8),#C81430,#FEB93B,-1.42,Won Division Semifinals versus <span>Minneapolis Lakers (2-1)</span>,Lost Division Finals versus <span>Fort Wayne Pistons (2-3)</span>,,
1956-57,St. Louis Hawks,Kiel Auditorium,34,0.472,0.8,R. Holzman/S. Martin/A. Hannum,B. Pettit (11.6),#C81430,#FEB93B,-0.27,Division Semifinals Bye,Won Division Finals versus <span>Minneapolis Lakers (3-0)</span>,Lost Finals versus <span>Boston Celtics (3-4)</span>,
1957-58,St. Louis Hawks,Kiel Auditorium,41,0.569,1,A. Hannum,B. Pettit (11.0),#C81430,#FEB93B,0.82,Division Semifinals Bye,Won Division Finals versus <span>Detroit Pistons (4-1)</span>,Won Finals versus <span>Boston Celtics (4-2)</span>,
1958-59,St. Louis Hawks,Kiel Auditorium,49,0.681,0.6,A. Phillip/E. Macauley,B. Pettit (14.8),#C81430,#FEB93B,2.89,Division Semifinals Bye,Lost Division Finals versus <span>Minneapolis Lakers (2-4)</span>,,
1959-60,St. Louis Hawks,Kiel Auditorium,46,0.613,0.8,E. Macauley,C. Hagan (11.8),#C81430,#FEB93B,1.77,Division Semifinals Bye,Won Division Finals versus <span>Minneapolis Lakers (4-3)</span>,Lost Finals versus <span>Boston Celtics (3-4)</span>,
