season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2
1946-47,Boston Celtics,Boston Garden,22,0.367,0,J. Russell,C. Simmons (6.1),#008348,#BB9753
1947-48,Boston Celtics,Boston Garden,20,0.417,0.4,J. Russell,E. Sadowski (9.3),#008348,#BB9753
1948-49,Boston Celtics,Boston Garden,25,0.417,0,A. Julian,J. Seminoff (5.4),#008348,#BB9753
1949-50,Boston Celtics,Boston Garden,22,0.324,0,A. Julian,B. Kinney (4.8),#008348,#BB9753
1950-51,Boston Celtics,Boston Garden,39,0.565,0.4,R. Auerbach,E. Macauley (15.9),#008348,#BB9753
1951-52,Boston Celtics,Boston Garden,39,0.591,0.4,R. Auerbach,E. Macauley (13.8),#008348,#BB9753
1952-53,Boston Celtics,Boston Garden,46,0.648,0.6,R. Auerbach,E. Macauley (14.5),#008348,#BB9753
1953-54,Boston Celtics,Boston Garden,42,0.583,0.6,R. Auerbach,E. Macauley (14.6),#008348,#BB9753
1954-55,Boston Celtics,Boston Garden,36,0.5,0.6,R. Auerbach,E. Macauley (8.9),#008348,#BB9753
1955-56,Boston Celtics,Boston Garden,39,0.542,0.4,R. Auerbach,B. Sharman (8.8),#008348,#BB9753
1956-57,Boston Celtics,Boston Garden,44,0.611,1,R. Auerbach,B. Sharman (10.4),#008348,#BB9753
1957-58,Boston Celtics,Boston Garden,49,0.681,0.8,R. Auerbach,B. Russell (11.3),#008348,#BB9753
1958-59,Boston Celtics,Boston Garden,52,0.722,1,R. Auerbach,B. Russell (12.9),#008348,#BB9753
1959-60,Boston Celtics,Boston Garden,59,0.787,1,R. Auerbach,B. Russell (13.8),#008348,#BB9753
1960-61,Boston Celtics,Boston Garden,57,0.722,1,R. Auerbach,B. Russell (13.0),#008348,#BB9753
1961-62,Boston Celtics,Boston Garden,60,0.75,1,R. Auerbach,B. Russell (15.5),#008348,#BB9753
1962-63,Boston Celtics,Boston Garden,58,0.725,1,R. Auerbach,B. Russell (13.5),#008348,#BB9753
1963-64,Boston Celtics,Boston Garden,59,0.738,1,R. Auerbach,B. Russell (17.3),#008348,#BB9753
1964-65,Boston Celtics,Boston Garden,62,0.775,1,R. Auerbach,B. Russell (16.9),#008348,#BB9753
1965-66,Boston Celtics,Boston Garden,54,0.675,1,R. Auerbach,B. Russell (11.7),#008348,#BB9753
1966-67,Boston Celtics,Boston Garden,60,0.741,0.6,B. Russell,B. Russell (12.2),#008348,#BB9753
1967-68,Boston Celtics,Boston Garden,54,0.659,1,B. Russell,B. Howell (10.1),#008348,#BB9753
1968-69,Boston Celtics,Boston Garden,48,0.585,1,B. Russell,B. Howell (11.3),#008348,#BB9753
1969-70,Boston Celtics,Boston Garden,34,0.415,0,T. Heinsohn,J. Havlicek (10.6),#008348,#BB9753
1970-71,Boston Celtics,Boston Garden,44,0.537,0,T. Heinsohn,J. Havlicek (12.5),#008348,#BB9753
1971-72,Boston Celtics,Boston Garden,56,0.683,0.6,T. Heinsohn,J. Havlicek (12.4),#008348,#BB9753
1972-73,Boston Celtics,Boston Garden,68,0.829,0.6,T. Heinsohn,J. Havlicek (12.1),#008348,#BB9753
1973-74,Boston Celtics,Boston Garden,56,0.683,1,T. Heinsohn,J. Havlicek (9.7),#008348,#BB9753
1974-75,Boston Celtics,Boston Garden,60,0.732,0.6,T. Heinsohn,J. Havlicek (9.7),#008348,#BB9753
1975-76,Boston Celtics,Boston Garden,54,0.659,1,T. Heinsohn,D. Cowens (10.7),#008348,#BB9753
1976-77,Boston Celtics,Boston Garden,44,0.537,0.4,T. Heinsohn,J. White (6.5),#008348,#BB9753
1977-78,Boston Celtics,Boston Garden,32,0.39,0,T. Heinsohn/T. Sanders,D. Cowens (10.8),#008348,#BB9753
1978-79,Boston Celtics,Boston Garden,29,0.354,0,T. Sanders/D. Cowens,C. Maxwell (11.7),#008348,#BB9753
1979-80,Boston Celtics,Boston Garden,61,0.744,0.6,B. Fitch,C. Maxwell (12.2),#008348,#BB9753
1980-81,Boston Celtics,Boston Garden,62,0.756,1,B. Fitch,C. Maxwell (11.0),#008348,#BB9753
1981-82,Boston Celtics,Boston Garden,63,0.768,0.6,B. Fitch,L. Bird (12.5),#008348,#BB9753
1982-83,Boston Celtics,Boston Garden,56,0.683,0.4,B. Fitch,L. Bird (14.0),#008348,#BB9753
1983-84,Boston Celtics,Boston Garden,62,0.756,1,K. Jones,L. Bird (13.6),#008348,#BB9753
1984-85,Boston Celtics,Boston Garden,63,0.768,0.8,K. Jones,L. Bird (15.7),#008348,#BB9753
1985-86,Boston Celtics,Boston Garden,67,0.817,1,K. Jones,L. Bird (15.8),#008348,#BB9753
1986-87,Boston Celtics,Boston Garden,59,0.72,0.8,K. Jones,L. Bird (15.2),#008348,#BB9753
1987-88,Boston Celtics,Boston Garden,57,0.695,0.6,K. Jones,L. Bird (15.0),#008348,#BB9753
1988-89,Boston Celtics,Boston Garden,42,0.512,0.2,J. Rodgers,R. Parish (10.5),#008348,#BB9753
1989-90,Boston Celtics,Boston Garden,52,0.634,0.2,J. Rodgers,K. McHale (11.1),#008348,#BB9753
1990-91,Boston Celtics,Boston Garden,56,0.683,0.4,C. Ford,R. Parish (10.0),#008348,#BB9753
1991-92,Boston Celtics,Boston Garden,51,0.622,0.4,C. Ford,R. Lewis (9.1),#008348,#BB9753
1992-93,Boston Celtics,Boston Garden,48,0.585,0.2,C. Ford,R. Lewis (8.3),#008348,#BB9753
1993-94,Boston Celtics,Boston Garden,32,0.39,0,C. Ford,D. Brown (6.4),#008348,#BB9753
1994-95,Boston Celtics,Boston Garden,35,0.427,0.2,C. Ford,D. Brown (6.8),#008348,#BB9753
1995-96,Boston Celtics,FleetCenter,33,0.402,0,M. Carr,D. Wesley (6.3),#008348,#BB9753
1996-97,Boston Celtics,FleetCenter,15,0.183,0,M. Carr,D. Wesley (6.1),#008348,#BB9753
1997-98,Boston Celtics,FleetCenter,36,0.439,0,R. Pitino,D. Barros (5.6),#008348,#BB9753
1998-99,Boston Celtics,FleetCenter,19,0.38,0,R. Pitino,P. Pierce (4.9),#008348,#BB9753
1999-00,Boston Celtics,FleetCenter,35,0.427,0,R. Pitino,P. Pierce (8.2),#008348,#BB9753
2000-01,Boston Celtics,FleetCenter,36,0.439,0,R. Pitino/J. O'Brien,P. Pierce (10.4),#008348,#BB9753
2001-02,Boston Celtics,FleetCenter,49,0.598,0.6,J. O'Brien,P. Pierce (12.9),#008348,#BB9753
2002-03,Boston Celtics,FleetCenter,44,0.537,0.4,J. O'Brien,P. Pierce (10.1),#008348,#BB9753
2003-04,Boston Celtics,FleetCenter,36,0.439,0.2,J. O'Brien/J. Carroll,P. Pierce (7.1),#008348,#BB9753
2004-05,Boston Celtics,FleetCenter,45,0.549,0.2,D. Rivers,P. Pierce (11.2),#008348,#BB9753
2005-06,Boston Celtics,TD Banknorth Garden,33,0.402,0,D. Rivers,P. Pierce (11.5),#008348,#BB9753
2006-07,Boston Celtics,TD Banknorth Garden,24,0.293,0,D. Rivers,A. Jefferson (6.6),#008348,#BB9753
2007-08,Boston Celtics,TD Banknorth Garden,66,0.805,1,D. Rivers,K. Garnett (12.9),#008348,#BB9753
2008-09,Boston Celtics,TD Banknorth Garden,62,0.756,0.4,D. Rivers,R. Allen (11.1),#008348,#BB9753
2009-10,Boston Celtics,TD Garden,50,0.61,0.8,D. Rivers,R. Rondo (9.6),#008348,#BB9753
2010-11,Boston Celtics,TD Garden,56,0.683,0.4,D. Rivers,P. Pierce (11.6),#008348,#BB9753
2011-12,Boston Celtics,TD Garden,39,0.591,0.6,D. Rivers,P. Pierce (7.0),#008348,#BB9753
2012-13,Boston Celtics,TD Garden,41,0.506,0.2,D. Rivers,P. Pierce (7.2),#008348,#BB9753
2013-14,Boston Celtics,TD Garden,25,0.305,0,B. Stevens,B. Bass (5.1),#008348,#BB9753
2014-15,Boston Celtics,TD Garden,40,0.488,0.2,B. Stevens,T. Zeller (6.5),#008348,#BB9753
2015-16,Boston Celtics,TD Garden,48,0.585,0.2,B. Stevens,I. Thomas (9.7),#008348,#BB9753
2016-17,Boston Celtics,TD Garden,53,0.646,0.6,B. Stevens,I. Thomas (12.5),#008348,#BB9753
