season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,logo,opponent1,opponent2,opponent3,opponent4
1946-47,Boston Celtics,Boston Garden,22,0.367,0,J. Russell,C. Simmons (6.1),#008348,#BB9753,-4.45,teams/BOS/logos/1946-1950.png,,,,
1947-48,Boston Celtics,Boston Garden,20,0.417,0.4,J. Russell,E. Sadowski (9.3),#008348,#BB9753,-3.76,teams/BOS/logos/1946-1950.png,Lost Quarterfinals versus <span>Chicago Stags (1-2)</span>,,,
1948-49,Boston Celtics,Boston Garden,25,0.417,0,A. Julian,B. Kinney (4.8),#008348,#BB9753,-2.76,teams/BOS/logos/1946-1950.png,,,,
1949-50,Boston Celtics,Boston Garden,22,0.324,0,A. Julian,B. Kinney (4.8),#008348,#BB9753,-1.73,teams/BOS/logos/1946-1950.png,,,,
1950-51,Boston Celtics,Boston Garden,39,0.565,0.4,R. Auerbach,E. Macauley (15.9),#008348,#BB9753,-0.41,teams/BOS/logos/1951-1960.png,Lost Division Semifinals versus <span>New York Knicks (0-2)</span>,,,
1951-52,Boston Celtics,Boston Garden,39,0.591,0.4,R. Auerbach,E. Macauley (13.8),#008348,#BB9753,3.6,teams/BOS/logos/1951-1960.png,Lost Division Semifinals versus <span>New York Knicks (1-2)</span>,,,
1952-53,Boston Celtics,Boston Garden,46,0.648,0.6,R. Auerbach,E. Macauley (14.5),#008348,#BB9753,1.94,teams/BOS/logos/1951-1960.png,Won Division Semifinals versus <span>Syracuse Nationals (2-0)</span>,Lost Division Finals versus <span>New York Knicks (1-3)</span>,,
1953-54,Boston Celtics,Boston Garden,42,0.583,0.6,R. Auerbach,E. Macauley (14.6),#008348,#BB9753,1.97,teams/BOS/logos/1951-1960.png,Advanced from Division Round Robin,Lost Division Finals versus <span>Syracuse Nationals (0-2)</span>,,
1954-55,Boston Celtics,Boston Garden,36,0.5,0.6,R. Auerbach,E. Macauley (8.9),#008348,#BB9753,-0.03,teams/BOS/logos/1951-1960.png,Won Division Semifinals versus <span>New York Knicks (2-1)</span>,Lost Division Finals versus <span>Syracuse Nationals (1-3)</span>,,
1955-56,Boston Celtics,Boston Garden,39,0.542,0.4,R. Auerbach,B. Sharman (8.8),#008348,#BB9753,0.72,teams/BOS/logos/1951-1960.png,Lost Division Semifinals versus <span>Syracuse Nationals (1-2)</span>,,,
1956-57,Boston Celtics,Boston Garden,44,0.611,1,R. Auerbach,B. Sharman (10.4),#008348,#BB9753,4.78,teams/BOS/logos/1951-1960.png,Division Semifinals Bye,Won Division Finals versus <span>Syracuse Nationals (3-0)</span>,Won Finals versus <span>St. Louis Hawks (4-3)</span>,
1957-58,Boston Celtics,Boston Garden,49,0.681,0.8,R. Auerbach,B. Russell (11.3),#008348,#BB9753,5.02,teams/BOS/logos/1951-1960.png,Division Semifinals Bye,Won Division Finals versus <span>Philadelphia Warriors (4-1)</span>,Lost Finals versus <span>St. Louis Hawks (2-4)</span>,
1958-59,Boston Celtics,Boston Garden,52,0.722,1,R. Auerbach,B. Russell (12.9),#008348,#BB9753,5.84,teams/BOS/logos/1951-1960.png,Division Semifinals Bye,Won Division Finals versus <span>Syracuse Nationals (4-3)</span>,Won Finals versus <span>Minneapolis Lakers (4-0)</span>,
1959-60,Boston Celtics,Boston Garden,59,0.787,1,R. Auerbach,B. Russell (13.8),#008348,#BB9753,7.62,teams/BOS/logos/1951-1960.png,Division Semifinals Bye,Won Division Finals versus <span>Philadelphia Warriors (4-2)</span>,Won Finals versus <span>St. Louis Hawks (4-3)</span>,
