season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,opponent
1988-89,Charlotte Hornets,Charlotte Coliseum,20,0.244,0,D. Harter,K. Rambis (4.8),#1D1160,#008CA8,-7.74,
1989-90,Charlotte Hornets,Charlotte Coliseum,19,0.232,0,D. Harter/G. Littles,M. Bogues (6.7),#1D1160,#008CA8,-7,
1990-91,Charlotte Hornets,Charlotte Coliseum,26,0.317,0,G. Littles,M. Bogues (4.8),#1D1160,#008CA8,-4.95,
1991-92,Charlotte Hornets,Charlotte Coliseum,31,0.378,0,A. Bristow,L. Johnson (8.9),#1D1160,#008CA8,-3.57,
1992-93,Charlotte Hornets,Charlotte Coliseum,44,0.537,0.4,A. Bristow,L. Johnson (9.6),#1D1160,#008CA8,-0.02,New York Knicks
1993-94,Charlotte Hornets,Charlotte Coliseum,41,0.5,0,A. Bristow,H. Hawkins (6.5),#1D1160,#008CA8,-0.23,
1994-95,Charlotte Hornets,Charlotte Coliseum,50,0.61,0.2,A. Bristow,A. Mourning (9.4),#1D1160,#008CA8,2.87,Chicago Bulls
1995-96,Charlotte Hornets,Charlotte Coliseum,41,0.5,0,A. Bristow,L. Johnson (10.1),#1D1160,#008CA8,-0.48,
1996-97,Charlotte Hornets,Charlotte Coliseum,54,0.659,0.2,D. Cowens,A. Mason (11.4),#1D1160,#008CA8,2.13,New York Knicks
1997-98,Charlotte Hornets,Charlotte Coliseum,51,0.622,0.4,D. Cowens,G. Rice (9.3),#1D1160,#008CA8,2.45,Chicago Bulls
1998-99,Charlotte Hornets,Charlotte Coliseum,26,0.52,0,D. Cowens/P. Silas,D. Wesley (4.8),#1D1160,#008CA8,0.63,
1999-00,Charlotte Hornets,Charlotte Coliseum,49,0.598,0.2,P. Silas,E. Jones (10.1),#1D1160,#008CA8,2.33,Philadelphia 76ers
2000-01,Charlotte Hornets,Charlotte Coliseum,46,0.561,0.4,P. Silas,B. Davis (8.9),#1D1160,#008CA8,1.45,Milwaukee Bucks
2001-02,Charlotte Hornets,Charlotte Coliseum,44,0.537,0.4,P. Silas,P. Brown (8.2),#1D1160,#008CA8,0.57,New Jersey Nets
2004-05,Charlotte Bobcats,Charlotte Coliseum,18,0.22,0,B. Bickerstaff,P. Brezec (4.9),#1D1160,#008CA8,-6.15,
2005-06,Charlotte Bobcats,Charlotte Bobcats Arena,26,0.317,0,B. Bickerstaff,G. Wallace (6.4),#1D1160,#008CA8,-3.9,
2006-07,Charlotte Bobcats,Charlotte Bobcats Arena,33,0.402,0,B. Bickerstaff,G. Wallace (7.7),#1D1160,#008CA8,-3.97,
2007-08,Charlotte Bobcats,Charlotte Bobcats Arena,32,0.39,0,S. Vincent,J. Richardson (7.4),#1D1160,#008CA8,-4.49,
2008-09,Charlotte Bobcats,Time Warner Cable Arena,35,0.427,0,L. Brown,G. Wallace (9.5),#1D1160,#008CA8,-1.2,
2009-10,Charlotte Bobcats,Time Warner Cable Arena,44,0.537,0.2,L. Brown,G. Wallace (11.5),#1D1160,#008CA8,1.3,Orlando Magic
2010-11,Charlotte Bobcats,Time Warner Cable Arena,34,0.415,0,L. Brown/P. Silas,D. Augustin (6.2),#1D1160,#008CA8,-4.08,
2011-12,Charlotte Bobcats,Time Warner Cable Arena,7,0.106,0,P. Silas,D. Brown (2.3),#1D1160,#008CA8,-13.96,
2012-13,Charlotte Bobcats,Time Warner Cable Arena,21,0.256,0,M. Dunlap,K. Walker (4.8),#1D1160,#008CA8,-9.29,
2013-14,Charlotte Bobcats,Time Warner Cable Arena,43,0.524,0.2,S. Clifford,A. Jefferson (7.8),#1D1160,#008CA8,-0.89,Miami Heat
2014-15,Charlotte Hornets,Time Warner Cable Arena,33,0.402,0,S. Clifford,A. Jefferson (4.7),#1D1160,#008CA8,-3.44,
2015-16,Charlotte Hornets,Time Warner Cable Arena,48,0.585,0.2,S. Clifford,K. Walker (9.9),#1D1160,#008CA8,2.36,Miami Heat
2016-17,Charlotte Hornets,Spectrum Center,36,0.439,0,S. Clifford,K. Walker (8.0),#1D1160,#008CA8,-0.07,
