season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,logo,opponent1,opponent2,opponent3,opponent4
1988-89,Charlotte Hornets,Charlotte Coliseum,20,0.244,0,D. Harter,K. Rambis (4.8),#00788C,#1D1160,-7.74,teams/CHA/logos/1989-2002.png,,,,
1989-90,Charlotte Hornets,Charlotte Coliseum,19,0.232,0,D. Harter/G. Littles,M. Bogues (6.7),#00788C,#1D1160,-7,teams/CHA/logos/1989-2002.png,,,,
1990-91,Charlotte Hornets,Charlotte Coliseum,26,0.317,0,G. Littles,M. Bogues (4.8),#00788C,#1D1160,-4.95,teams/CHA/logos/1989-2002.png,,,,
1991-92,Charlotte Hornets,Charlotte Coliseum,31,0.378,0,A. Bristow,L. Johnson (8.9),#00788C,#1D1160,-3.57,teams/CHA/logos/1989-2002.png,,,,
1992-93,Charlotte Hornets,Charlotte Coliseum,44,0.537,0.4,A. Bristow,L. Johnson (9.6),#00788C,#1D1160,-0.02,teams/CHA/logos/1989-2002.png,Won First Round versus <span>Boston Celtics (3-1)</span>,Lost Conference Semifinals versus <span>New York Knicks (1-4)</span>,,
1993-94,Charlotte Hornets,Charlotte Coliseum,41,0.5,0,A. Bristow,H. Hawkins (6.5),#00788C,#1D1160,-0.23,teams/CHA/logos/1989-2002.png,,,,
1994-95,Charlotte Hornets,Charlotte Coliseum,50,0.61,0.2,A. Bristow,A. Mourning (9.4),#00788C,#1D1160,2.87,teams/CHA/logos/1989-2002.png,Lost First Round versus <span>Chicago Bulls (1-3)</span>,,,
1995-96,Charlotte Hornets,Charlotte Coliseum,41,0.5,0,A. Bristow,L. Johnson (10.1),#00788C,#1D1160,-0.48,teams/CHA/logos/1989-2002.png,,,,
1996-97,Charlotte Hornets,Charlotte Coliseum,54,0.659,0.2,D. Cowens,A. Mason (11.4),#00788C,#1D1160,2.13,teams/CHA/logos/1989-2002.png,Lost First Round versus <span>New York Knicks (0-3)</span>,,,
1997-98,Charlotte Hornets,Charlotte Coliseum,51,0.622,0.4,D. Cowens,G. Rice (9.3),#00788C,#1D1160,2.45,teams/CHA/logos/1989-2002.png,Won First Round versus <span>Atlanta Hawks (3-1)</span>,Lost Conference Semifinals versus <span>Chicago Bulls (1-4)</span>,,
