season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,opponent
1966-67,Chicago Bulls,International Amphitheatre,33,0.407,0.4,R. Kerr,B. Boozer (9.4),#CE1141,#000000,-3.37,St. Louis Hawks (0-3)
1967-68,Chicago Bulls,Chicago Stadium,29,0.354,0.4,R. Kerr,B. Boozer (10.6),#CE1141,#000000,-3.76,Los Angeles Lakers (1-4)
1968-69,Chicago Bulls,Chicago Stadium,33,0.402,0,D. Motta,B. Boozer (11.6),#CE1141,#000000,-2.11,
1969-70,Chicago Bulls,Chicago Stadium,39,0.476,0.4,D. Motta,C. Walker (9.8),#CE1141,#000000,-1.71,Atlanta Hawks (1-4)
1970-71,Chicago Bulls,Chicago Stadium,51,0.622,0.4,D. Motta,C. Walker (10.9),#CE1141,#000000,5.47,Los Angeles Lakers (3-4)
1971-72,Chicago Bulls,Chicago Stadium,57,0.695,0.4,D. Motta,C. Walker (14.5),#CE1141,#000000,7.91,Los Angeles Lakers (0-4)
1972-73,Chicago Bulls,Chicago Stadium,51,0.622,0.4,D. Motta,C. Walker (10.9),#CE1141,#000000,3.43,Los Angeles Lakers (3-4)
1973-74,Chicago Bulls,Chicago Stadium,54,0.659,0.6,D. Motta,C. Walker (10.6),#CE1141,#000000,3.2,Milwaukee Bucks (0-4)
1974-75,Chicago Bulls,Chicago Stadium,47,0.573,0.6,D. Motta,C. Walker (10.5),#CE1141,#000000,2.88,Golden State Warriors (3-4)
1975-76,Chicago Bulls,Chicago Stadium,24,0.293,0,D. Motta,M. Johnson (8.3),#CE1141,#000000,-2.89,
1976-77,Chicago Bulls,Chicago Stadium,44,0.537,0.2,E. Badger,A. Gilmore (12.2),#CE1141,#000000,0.92,Portland Trail Blazers (1-2)
1977-78,Chicago Bulls,Chicago Stadium,40,0.488,0,E. Badger,A. Gilmore (11.5),#CE1141,#000000,-0.79,
1978-79,Chicago Bulls,Chicago Stadium,31,0.378,0,L. Costello/S. Robertson,A. Gilmore (12.7),#CE1141,#000000,-3.78,
1979-80,Chicago Bulls,Chicago Stadium,30,0.366,0,J. Sloan,R. Theus (6.9),#CE1141,#000000,-2.63,
1980-81,Chicago Bulls,Chicago Stadium,45,0.549,0.4,J. Sloan,A. Gilmore (12.3),#CE1141,#000000,2.34,Boston Celtics (0-4)
1981-82,Chicago Bulls,Chicago Stadium,34,0.415,0,J. Sloan/P. Johnson/R. Thorn,A. Gilmore (12.1),#CE1141,#000000,-1.57,
1982-83,Chicago Bulls,Chicago Stadium,28,0.341,0,P. Westhead,R. Theus (6.5),#CE1141,#000000,-4.41,
1983-84,Chicago Bulls,Chicago Stadium,27,0.329,0,K. Loughery,D. Greenwood (5.7),#CE1141,#000000,-4.69,
1984-85,Chicago Bulls,Chicago Stadium,38,0.463,0.2,K. Loughery,M. Jordan (14.0),#CE1141,#000000,-0.5,Milwaukee Bucks (1-3)
1985-86,Chicago Bulls,Chicago Stadium,30,0.366,0.2,S. Albeck,O. Woolridge (5.6),#CE1141,#000000,-3.12,Boston Celtics (0-3)
1986-87,Chicago Bulls,Chicago Stadium,40,0.488,0.2,D. Collins,M. Jordan (16.9),#CE1141,#000000,1.26,Boston Celtics (0-3)
