season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,logo,opponent1,opponent2,opponent3,opponent4
1980-81,Dallas Mavericks,Reunion Arena,15,0.183,0,D. Motta,J. Spanarkel (5.5),#0053BC,#00285E,-8.33,teams/DAL/logos/1981-1993.png,,,,
1981-82,Dallas Mavericks,Reunion Arena,28,0.341,0,D. Motta,J. Vincent (5.6),#0053BC,#00285E,-4.48,teams/DAL/logos/1981-1993.png,,,,
1982-83,Dallas Mavericks,Reunion Arena,38,0.463,0,D. Motta,B. Davis (7.3),#0053BC,#00285E,-0.7,teams/DAL/logos/1981-1993.png,,,,
1983-84,Dallas Mavericks,Reunion Arena,43,0.524,0.4,D. Motta,R. Blackman (9.8),#0053BC,#00285E,0.15,teams/DAL/logos/1981-1993.png,Won First Round versus <span>Seattle SuperSonics (3-2)</span>,Lost Conference Semifinals versus <span>Los Angeles Lakers (1-4)</span>,,
1984-85,Dallas Mavericks,Reunion Arena,44,0.537,0.2,D. Motta,B. Davis (7.4),#0053BC,#00285E,1.8,teams/DAL/logos/1981-1993.png,Lost First Round versus <span>Portland Trail Blazers (1-3)</span>,,,
1985-86,Dallas Mavericks,Reunion Arena,44,0.537,0.4,D. Motta,S. Perkins (7.3),#0053BC,#00285E,0.7,teams/DAL/logos/1981-1993.png,Won First Round versus <span>Utah Jazz (3-1)</span>,Lost Conference Semifinals versus <span>Los Angeles Lakers (2-4)</span>,,
1986-87,Dallas Mavericks,Reunion Arena,55,0.671,0.2,D. Motta,J. Donaldson (10.4),#0053BC,#00285E,5.54,teams/DAL/logos/1981-1993.png,Lost First Round versus <span>Seattle SuperSonics (1-3)</span>,,,
1987-88,Dallas Mavericks,Reunion Arena,53,0.646,0.6,J. MacLeod,D. Harper (9.1),#0053BC,#00285E,3.59,teams/DAL/logos/1981-1993.png,Won First Round versus <span>Houston Rockets (3-1)</span>,Won Conference Semifinals versus <span>Denver Nuggets (4-2)</span>,Lost Conference Finals versus <span>Los Angeles Lakers (3-4)</span>,
1988-89,Dallas Mavericks,Reunion Arena,38,0.463,0,J. MacLeod,D. Harper (8.0),#0053BC,#00285E,-1.79,teams/DAL/logos/1981-1993.png,,,,
1989-90,Dallas Mavericks,Reunion Arena,47,0.573,0.2,J. MacLeod/R. Adubato,D. Harper (9.9),#0053BC,#00285E,0.42,teams/DAL/logos/1981-1993.png,Lost First Round versus <span>Portland Trail Blazers (0-3)</span>,,,
1990-91,Dallas Mavericks,Reunion Arena,28,0.341,0,R. Adubato,D. Harper (7.6),#0053BC,#00285E,-4.27,teams/DAL/logos/1981-1993.png,,,,
1991-92,Dallas Mavericks,Reunion Arena,22,0.268,0,R. Adubato,R. Blackman (3.8),#0053BC,#00285E,-7.47,teams/DAL/logos/1981-1993.png,,,,
