season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2
1976-77,Denver Nuggets,McNichols Sports Arena,50,0.61,0.4,L. Brown,B. Jones (11.0),#4D90CD,#FDB927
1977-78,Denver Nuggets,McNichols Sports Arena,48,0.585,0.6,L. Brown,D. Thompson (12.7),#4D90CD,#FDB927
1978-79,Denver Nuggets,McNichols Sports Arena,47,0.573,0.2,L. Brown/D. Walsh,D. Issel (9.8),#4D90CD,#FDB927
1979-80,Denver Nuggets,McNichols Sports Arena,30,0.366,0,D. Walsh,D. Issel (11.5),#4D90CD,#FDB927
1980-81,Denver Nuggets,McNichols Sports Arena,37,0.451,0,D. Walsh/D. Moe,D. Issel (10.5),#4D90CD,#FDB927
1981-82,Denver Nuggets,McNichols Sports Arena,46,0.561,0.2,D. Moe,D. Issel (9.8),#4D90CD,#FDB927
1982-83,Denver Nuggets,McNichols Sports Arena,45,0.549,0.4,D. Moe,K. Vandeweghe (11.0),#4D90CD,#FDB927
1983-84,Denver Nuggets,McNichols Sports Arena,38,0.463,0.2,D. Moe,K. Vandeweghe (10.3),#4D90CD,#FDB927
1984-85,Denver Nuggets,McNichols Sports Arena,52,0.634,0.6,D. Moe,C. Natt (10.2),#4D90CD,#FDB927
1985-86,Denver Nuggets,McNichols Sports Arena,47,0.573,0.4,D. Moe,A. English (9.8),#4D90CD,#FDB927
1986-87,Denver Nuggets,McNichols Sports Arena,37,0.451,0.2,D. Moe,F. Lever (9.7),#4D90CD,#FDB927
1987-88,Denver Nuggets,McNichols Sports Arena,54,0.659,0.4,D. Moe,F. Lever (10.4),#4D90CD,#FDB927
1988-89,Denver Nuggets,McNichols Sports Arena,44,0.537,0.2,D. Moe,F. Lever (9.2),#4D90CD,#FDB927
1989-90,Denver Nuggets,McNichols Sports Arena,43,0.524,0.2,D. Moe,F. Lever (8.8),#4D90CD,#FDB927
1990-91,Denver Nuggets,McNichols Sports Arena,20,0.244,0,P. Westhead,M. Adams (6.3),#4D90CD,#FDB927
1991-92,Denver Nuggets,McNichols Sports Arena,24,0.293,0,P. Westhead,R. Williams (6.6),#4D90CD,#FDB927
1992-93,Denver Nuggets,McNichols Sports Arena,36,0.439,0,D. Issel,D. Mutombo (8.8),#4D90CD,#FDB927
1993-94,Denver Nuggets,McNichols Sports Arena,42,0.512,0.4,D. Issel,D. Mutombo (9.4),#4D90CD,#FDB927
1994-95,Denver Nuggets,McNichols Sports Arena,41,0.5,0.2,D. Issel/G. Littles/B. Bickerstaff,D. Mutombo (8.7),#4D90CD,#FDB927
1995-96,Denver Nuggets,McNichols Sports Arena,35,0.427,0,B. Bickerstaff,D. Mutombo (7.6),#4D90CD,#FDB927
1996-97,Denver Nuggets,McNichols Sports Arena,21,0.256,0,B. Bickerstaff/D. Motta,E. Johnson (5.2),#4D90CD,#FDB927
1997-98,Denver Nuggets,McNichols Sports Arena,11,0.134,0,B. Hanzlik,A. Goldwire (3.0),#4D90CD,#FDB927
1998-99,Denver Nuggets,McNichols Sports Arena,14,0.28,0,M. D'Antoni,D. Fortson (4.4),#4D90CD,#FDB927
1999-00,Denver Nuggets,Pepsi Center,35,0.427,0,D. Issel,A. McDyess (6.2),#4D90CD,#FDB927
2000-01,Denver Nuggets,Pepsi Center,40,0.488,0,D. Issel,A. McDyess (7.8),#4D90CD,#FDB927
2001-02,Denver Nuggets,Pepsi Center,27,0.329,0,D. Issel/M. Evans,R. LaFrentz (4.5),#4D90CD,#FDB927
2002-03,Denver Nuggets,Pepsi Center,17,0.207,0,J. Bzdelik,J. Howard (6.0),#4D90CD,#FDB927
2003-04,Denver Nuggets,Pepsi Center,43,0.524,0.2,J. Bzdelik,A. Miller (8.8),#4D90CD,#FDB927
2004-05,Denver Nuggets,Pepsi Center,49,0.598,0.2,J. Bzdelik/M. Cooper/G. Karl,A. Miller (7.0),#4D90CD,#FDB927
2005-06,Denver Nuggets,Pepsi Center,44,0.537,0.2,G. Karl,C. Anthony (9.4),#4D90CD,#FDB927
2006-07,Denver Nuggets,Pepsi Center,45,0.549,0.2,G. Karl,M. Camby (7.6),#4D90CD,#FDB927
2007-08,Denver Nuggets,Pepsi Center,50,0.61,0.2,G. Karl,A. Iverson (11.6),#4D90CD,#FDB927
2008-09,Denver Nuggets,Pepsi Center,54,0.659,0.6,G. Karl,C. Billups (9.9),#4D90CD,#FDB927
2009-10,Denver Nuggets,Pepsi Center,53,0.646,0.2,G. Karl,N. Hilario (10.8),#4D90CD,#FDB927
2010-11,Denver Nuggets,Pepsi Center,50,0.61,0.2,G. Karl,N. Hilario (9.6),#4D90CD,#FDB927
2011-12,Denver Nuggets,Pepsi Center,38,0.576,0.2,G. Karl,T. Lawson (6.9),#4D90CD,#FDB927
2012-13,Denver Nuggets,Pepsi Center,57,0.695,0.2,G. Karl,K. Faried (7.8),#4D90CD,#FDB927
2013-14,Denver Nuggets,Pepsi Center,36,0.439,0,B. Shaw,K. Faried (6.5),#4D90CD,#FDB927
2014-15,Denver Nuggets,Pepsi Center,30,0.366,0,B. Shaw/M. Hunt,T. Lawson (7.0),#4D90CD,#FDB927
2015-16,Denver Nuggets,Pepsi Center,33,0.402,0,M. Malone,N. Jokic (6.7),#4D90CD,#FDB927
2016-17,Denver Nuggets,Pepsi Center,40,0.488,0,M. Malone,N. Jokic (9.6),#4D90CD,#FDB927
