season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,logo,opponent1,opponent2,opponent3,opponent4
1976-77,Denver Nuggets,McNichols Sports Arena,50,0.61,0.4,L. Brown,B. Jones (11.0),#0E2240,#FEC524,4.95,teams/DEN/logos/1977-1981.png,First Round Bye,Lost Conference Semifinals versus <span>Portland Trail Blazers (2-4)</span>,,
1977-78,Denver Nuggets,McNichols Sports Arena,48,0.585,0.6,L. Brown,D. Thompson (12.7),#0E2240,#FEC524,0.8,teams/DEN/logos/1977-1981.png,First Round Bye,Won Conference Semifinals versus <span>Milwaukee Bucks (4-3)</span>,Lost Conference Finals versus <span>Seattle SuperSonics (2-4)</span>,
1978-79,Denver Nuggets,McNichols Sports Arena,47,0.573,0.2,L. Brown/D. Walsh,D. Issel (9.8),#0E2240,#FEC524,1.24,teams/DEN/logos/1977-1981.png,Lost First Round versus <span>Los Angeles Lakers (1-2)</span>,,,
1979-80,Denver Nuggets,McNichols Sports Arena,30,0.366,0,D. Walsh,D. Issel (11.5),#0E2240,#FEC524,-4.22,teams/DEN/logos/1977-1981.png,,,,
1980-81,Denver Nuggets,McNichols Sports Arena,37,0.451,0,D. Walsh/D. Moe,D. Issel (10.5),#0E2240,#FEC524,-0.95,teams/DEN/logos/1977-1981.png,,,,
1981-82,Denver Nuggets,McNichols Sports Arena,46,0.561,0.2,D. Moe,D. Issel (9.8),#0E2240,#FEC524,0.13,teams/DEN/logos/1982-1993.png,Lost First Round versus <span>Phoenix Suns (1-2)</span>,,,
1982-83,Denver Nuggets,McNichols Sports Arena,45,0.549,0.4,D. Moe,K. Vandeweghe (11.0),#0E2240,#FEC524,0.27,teams/DEN/logos/1982-1993.png,Won First Round versus <span>Phoenix Suns (2-1)</span>,Lost Conference Semifinals versus <span>San Antonio Spurs (1-4)</span>,,
1983-84,Denver Nuggets,McNichols Sports Arena,38,0.463,0.2,D. Moe,K. Vandeweghe (10.3),#0E2240,#FEC524,-1.27,teams/DEN/logos/1982-1993.png,Lost First Round versus <span>Utah Jazz (2-3)</span>,,,
1984-85,Denver Nuggets,McNichols Sports Arena,52,0.634,0.6,D. Moe,C. Natt (10.2),#0E2240,#FEC524,2.05,teams/DEN/logos/1982-1993.png,Won First Round versus <span>San Antonio Spurs (3-2)</span>,Won Conference Semifinals versus <span>Utah Jazz (4-1)</span>,Lost Conference Finals versus <span>Los Angeles Lakers (1-4)</span>,
1985-86,Denver Nuggets,McNichols Sports Arena,47,0.573,0.4,D. Moe,A. English (9.8),#0E2240,#FEC524,0.89,teams/DEN/logos/1982-1993.png,Won First Round versus <span>Portland Trail Blazers (3-1)</span>,Lost Conference Semifinals versus <span>Houston Rockets (2-4)</span>,,
