season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2
1948-49,Fort Wayne Pistons,North Side High School Gym,22,0.367,0,C. Bennett/C. Armstrong,R. Niemiera (4.8),#ED174C,#006BB6
1949-50,Fort Wayne Pistons,North Side High School Gym,40,0.588,0.6,M. Mendenhall,F. Schaus (8.4),#ED174C,#006BB6
1950-51,Fort Wayne Pistons,North Side High School Gym,32,0.471,0.4,M. Mendenhall,F. Schaus (8.5),#ED174C,#006BB6
1951-52,Fort Wayne Pistons,North Side High School Gym,29,0.439,0.4,P. Birch,L. Foust (7.1),#ED174C,#006BB6
1952-53,Fort Wayne Pistons,War Memorial Coliseum,36,0.522,0.6,P. Birch,L. Foust (6.3),#ED174C,#006BB6
1953-54,Fort Wayne Pistons,War Memorial Coliseum,40,0.556,0.2,P. Birch,L. Foust (10.4),#ED174C,#006BB6
1954-55,Fort Wayne Pistons,War Memorial Coliseum,43,0.597,0.8,C. Eckman,L. Foust (13.3),#ED174C,#006BB6
1955-56,Fort Wayne Pistons,War Memorial Coliseum,37,0.514,0.8,C. Eckman,L. Foust (11.1),#ED174C,#006BB6
1956-57,Fort Wayne Pistons,War Memorial Coliseum,34,0.472,0.4,C. Eckman,G. Yardley (10.0),#ED174C,#006BB6
1957-58,Detroit Pistons,Detroit Olympia,33,0.458,0.6,C. Eckman/R. Rocha,G. Yardley (12.3),#ED174C,#006BB6
1958-59,Detroit Pistons,Detroit Olympia,28,0.389,0.4,R. Rocha,D. McGuire (6.9),#ED174C,#006BB6
1959-60,Detroit Pistons,Detroit Olympia,30,0.4,0.4,R. Rocha/D. McGuire,G. Shue (8.5),#ED174C,#006BB6
1960-61,Detroit Pistons,Detroit Olympia,34,0.43,0.4,D. McGuire,B. Howell (11.7),#ED174C,#006BB6
1961-62,Detroit Pistons,Cobo Arena,37,0.463,0.6,D. McGuire,B. Howell (10.7),#ED174C,#006BB6
1962-63,Detroit Pistons,Cobo Arena,34,0.425,0.4,D. McGuire,B. Howell (14.0),#ED174C,#006BB6
1963-64,Detroit Pistons,Cobo Arena,23,0.288,0,C. Wolf,B. Howell (9.8),#ED174C,#006BB6
1964-65,Detroit Pistons,Cobo Arena,31,0.388,0,C. Wolf/D. DeBusschere,T. Dischinger (10.3),#ED174C,#006BB6
1965-66,Detroit Pistons,Cobo Arena,22,0.275,0,D. DeBusschere,E. Miles (6.0),#ED174C,#006BB6
1966-67,Detroit Pistons,Cobo Arena,30,0.37,0,D. DeBusschere/D. Butcher,D. DeBusschere (5.9),#ED174C,#006BB6
1967-68,Detroit Pistons,Cobo Arena,40,0.488,0.4,D. Butcher,D. Bing (6.2),#ED174C,#006BB6
1968-69,Detroit Pistons,Cobo Arena,32,0.39,0,D. Butcher/P. Seymour,H. Hairston (7.0),#ED174C,#006BB6
1969-70,Detroit Pistons,Cobo Arena,31,0.378,0,B. Van Breda Kolff,J. Walker (6.2),#ED174C,#006BB6
1970-71,Detroit Pistons,Cobo Arena,45,0.549,0,B. Van Breda Kolff,D. Bing (11.7),#ED174C,#006BB6
1971-72,Detroit Pistons,Cobo Arena,26,0.317,0,B. Van Breda Kolff/T. Dischinger/E. Lloyd,B. Lanier (8.4),#ED174C,#006BB6
1972-73,Detroit Pistons,Cobo Arena,40,0.488,0,E. Lloyd/R. Scott,B. Lanier (10.6),#ED174C,#006BB6
1973-74,Detroit Pistons,Cobo Arena,52,0.634,0.4,R. Scott,B. Lanier (14.4),#ED174C,#006BB6
1974-75,Detroit Pistons,Cobo Arena,40,0.488,0.2,R. Scott,B. Lanier (12.4),#ED174C,#006BB6
1975-76,Detroit Pistons,Cobo Arena,36,0.439,0.4,R. Scott/H. Brown,B. Lanier (10.1),#ED174C,#006BB6
1976-77,Detroit Pistons,Cobo Arena,44,0.537,0.2,H. Brown,B. Lanier (10.3),#ED174C,#006BB6
1977-78,Detroit Pistons,Cobo Arena,38,0.463,0,H. Brown/B. Kauffman,B. Lanier (10.1),#ED174C,#006BB6
1978-79,Detroit Pistons,Pontiac Silverdome,30,0.366,0,D. Vitale,M. Carr (7.9),#ED174C,#006BB6
