season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,logo,opponent1,opponent2,opponent3,opponent4
1948-49,Fort Wayne Pistons,North Side High School Gym,22,0.367,0,C. Bennett/C. Armstrong,R. Niemiera (4.8),#1D428A,#C8102E,-2.85,teams/DET/logos/1949-1957.png,,,,
1949-50,Fort Wayne Pistons,North Side High School Gym,40,0.588,0.6,M. Mendenhall,F. Schaus (8.4),#1D428A,#C8102E,1.84,teams/DET/logos/1949-1957.png,Won Division Semifinals versus <span>Rochester Royals (2-0)</span>,Lost Division Finals versus <span>Minneapolis Lakers (0-2)</span>,,
1950-51,Fort Wayne Pistons,North Side High School Gym,32,0.471,0.4,M. Mendenhall,F. Schaus (8.5),#1D428A,#C8102E,-1.81,teams/DET/logos/1949-1957.png,Lost Division Semifinals versus <span>Rochester Royals (1-2)</span>,,,
1951-52,Fort Wayne Pistons,North Side High School Gym,29,0.439,0.4,P. Birch,L. Foust (7.1),#1D428A,#C8102E,-1.83,teams/DET/logos/1949-1957.png,Lost Division Semifinals versus <span>Rochester Royals (0-2)</span>,,,
1952-53,Fort Wayne Pistons,War Memorial Coliseum,36,0.522,0.6,P. Birch,L. Foust (6.3),#1D428A,#C8102E,0.17,teams/DET/logos/1949-1957.png,Won Division Semifinals versus <span>Rochester Royals (2-1)</span>,Lost Division Finals versus <span>Minneapolis Lakers (2-3)</span>,,
1953-54,Fort Wayne Pistons,War Memorial Coliseum,40,0.556,0.4,P. Birch,L. Foust (10.4),#1D428A,#C8102E,1.45,teams/DET/logos/1949-1957.png,Eliminated in Division Round Robin,,,
1954-55,Fort Wayne Pistons,War Memorial Coliseum,43,0.597,0.8,C. Eckman,L. Foust (13.3),#1D428A,#C8102E,2.01,teams/DET/logos/1949-1957.png,Division Semifinals Bye,Won Division Finals versus <span>Minneapolis Lakers (3-1)</span>,Lost Finals versus <span>Syracuse Nationals (3-4)</span>,
1955-56,Fort Wayne Pistons,War Memorial Coliseum,37,0.514,0.8,C. Eckman,L. Foust (11.1),#1D428A,#C8102E,0.45,teams/DET/logos/1949-1957.png,Division Semifinals Bye,Won Division Finals versus <span>St. Louis Hawks (3-2)</span>,Lost Finals versus <span>Philadelphia Warriors (1-4)</span>,
1956-57,Fort Wayne Pistons,War Memorial Coliseum,34,0.472,0.4,C. Eckman,G. Yardley (10.0),#1D428A,#C8102E,-2.18,teams/DET/logos/1949-1957.png,Lost Division Semifinals versus <span>Minneapolis Lakers (0-2)</span>,,,
1957-58,Detroit Pistons,Detroit Olympia,33,0.458,0.6,C. Eckman/R. Rocha,G. Yardley (12.3),#1D428A,#C8102E,-2.32,teams/DET/logos/1958-1971.png,Won Division Semifinals versus <span>Cincinnati Royals (2-0)</span>,Lost Division Finals versus <span>St. Louis Hawks (1-4)</span>,,
1958-59,Detroit Pistons,Detroit Olympia,28,0.389,0.4,R. Rocha,D. McGuire (6.9),#1D428A,#C8102E,-1.36,teams/DET/logos/1958-1971.png,Lost Division Semifinals versus <span>Minneapolis Lakers (1-2)</span>,,,
1959-60,Detroit Pistons,Detroit Olympia,30,0.4,0.4,R. Rocha/D. McGuire,G. Shue (8.5),#1D428A,#C8102E,-3.45,teams/DET/logos/1958-1971.png,Lost Division Semifinals versus <span>Minneapolis Lakers (0-2)</span>,,,
1960-61,Detroit Pistons,Detroit Olympia,34,0.43,0.4,D. McGuire,B. Howell (11.7),#1D428A,#C8102E,-2.11,teams/DET/logos/1958-1971.png,Lost Division Semifinals versus <span>Los Angeles Lakers (2-3)</span>,,,
1961-62,Detroit Pistons,Cobo Arena,37,0.463,0.6,D. McGuire,B. Howell (10.7),#1D428A,#C8102E,-1.72,teams/DET/logos/1958-1971.png,Won Division Semifinals versus <span>Cincinnati Royals (3-1)</span>,Lost Division Finals versus <span>Los Angeles Lakers (2-4)</span>,,
1962-63,Detroit Pistons,Cobo Arena,34,0.425,0.4,D. McGuire,B. Howell (14.0),#1D428A,#C8102E,-3.38,teams/DET/logos/1958-1971.png,Lost Division Semifinals versus <span>St. Louis Hawks (1-3)</span>,,,
1963-64,Detroit Pistons,Cobo Arena,23,0.288,0,C. Wolf,B. Howell (9.8),#1D428A,#C8102E,-6.77,teams/DET/logos/1958-1971.png,,,,
1964-65,Detroit Pistons,Cobo Arena,31,0.388,0,C. Wolf/D. DeBusschere,T. Dischinger (10.3),#1D428A,#C8102E,-3.03,teams/DET/logos/1958-1971.png,,,,
1965-66,Detroit Pistons,Cobo Arena,22,0.275,0,D. DeBusschere,E. Miles (6.0),#1D428A,#C8102E,-6.07,teams/DET/logos/1958-1971.png,,,,
1966-67,Detroit Pistons,Cobo Arena,30,0.37,0,D. DeBusschere/D. Butcher,D. DeBusschere (5.9),#1D428A,#C8102E,-4.98,teams/DET/logos/1958-1971.png,,,,
1967-68,Detroit Pistons,Cobo Arena,40,0.488,0.4,D. Butcher,D. Bing (6.2),#1D428A,#C8102E,-1.7,teams/DET/logos/1958-1971.png,Lost Division Semifinals versus <span>Boston Celtics (2-4)</span>,,,
1968-69,Detroit Pistons,Cobo Arena,32,0.39,0,D. Butcher/P. Seymour,H. Hairston (7.0),#1D428A,#C8102E,-2.79,teams/DET/logos/1958-1971.png,,,,
1969-70,Detroit Pistons,Cobo Arena,31,0.378,0,B. Van Breda Kolff,J. Walker (6.2),#1D428A,#C8102E,-2.94,teams/DET/logos/1958-1971.png,,,,
1970-71,Detroit Pistons,Cobo Arena,45,0.549,0,B. Van Breda Kolff,D. Bing (11.7),#1D428A,#C8102E,-0.33,teams/DET/logos/1958-1971.png,,,,
1971-72,Detroit Pistons,Cobo Arena,26,0.317,0,B. Van Breda Kolff/T. Dischinger/E. Lloyd,B. Lanier (8.4),#1D428A,#C8102E,-6.11,teams/DET/logos/1972-1975.png,,,,
1972-73,Detroit Pistons,Cobo Arena,40,0.488,0,E. Lloyd/R. Scott,B. Lanier (10.6),#1D428A,#C8102E,0.54,teams/DET/logos/1972-1975.png,,,,
1973-74,Detroit Pistons,Cobo Arena,52,0.634,0.4,R. Scott,B. Lanier (14.4),#1D428A,#C8102E,4.02,teams/DET/logos/1972-1975.png,Lost Conference Semifinals versus <span>Chicago Bulls (3-4)</span>,,,
1974-75,Detroit Pistons,Cobo Arena,40,0.488,0.2,R. Scott,B. Lanier (12.4),#1D428A,#C8102E,-1.19,teams/DET/logos/1972-1975.png,Lost First Round versus <span>Seattle SuperSonics (1-2)</span>,,,
1975-76,Detroit Pistons,Cobo Arena,36,0.439,0.4,R. Scott/H. Brown,B. Lanier (10.1),#1D428A,#C8102E,-1.18,teams/DET/logos/1976-1979.png,Won First Round versus <span>Milwaukee Bucks (2-1)</span>,Lost Conference Semifinals versus <span>Golden State Warriors (2-4)</span>,,
1976-77,Detroit Pistons,Cobo Arena,44,0.537,0.2,H. Brown,B. Lanier (10.3),#1D428A,#C8102E,-1,teams/DET/logos/1976-1979.png,Lost First Round versus <span>Golden State Warriors (1-2)</span>,,,
1977-78,Detroit Pistons,Cobo Arena,38,0.463,0,H. Brown/B. Kauffman,B. Lanier (10.1),#1D428A,#C8102E,-1.22,teams/DET/logos/1976-1979.png,,,,
1978-79,Detroit Pistons,Pontiac Silverdome,30,0.366,0,D. Vitale,M. Carr (7.9),#1D428A,#C8102E,-2.6,teams/DET/logos/1976-1979.png,,,,
1979-80,Detroit Pistons,Pontiac Silverdome,16,0.195,0,D. Vitale/R. Adubato,B. Lanier (4.2),#1D428A,#C8102E,-7.57,teams/DET/logos/1980-1996.png,,,,
1980-81,Detroit Pistons,Pontiac Silverdome,21,0.256,0,S. Robertson,T. Tyler (6.4),#1D428A,#C8102E,-5.58,teams/DET/logos/1980-1996.png,,,,
1981-82,Detroit Pistons,Pontiac Silverdome,39,0.476,0,S. Robertson,K. Tripucka (7.5),#1D428A,#C8102E,-0.63,teams/DET/logos/1980-1996.png,,,,
1982-83,Detroit Pistons,Pontiac Silverdome,37,0.451,0,S. Robertson,B. Laimbeer (8.5),#1D428A,#C8102E,-0.17,teams/DET/logos/1980-1996.png,,,,
1983-84,Detroit Pistons,Pontiac Silverdome,49,0.598,0.2,C. Daly,B. Laimbeer (10.8),#1D428A,#C8102E,3.52,teams/DET/logos/1980-1996.png,Lost First Round versus <span>New York Knicks (2-3)</span>,,,
1984-85,Detroit Pistons,Pontiac Silverdome,46,0.561,0.4,C. Daly,I. Thomas (11.2),#1D428A,#C8102E,2.73,teams/DET/logos/1980-1996.png,Won First Round versus <span>New Jersey Nets (3-0)</span>,Lost Conference Semifinals versus <span>Boston Celtics (2-4)</span>,,
1985-86,Detroit Pistons,Pontiac Silverdome,46,0.561,0.2,C. Daly,B. Laimbeer (9.2),#1D428A,#C8102E,1.44,teams/DET/logos/1980-1996.png,Lost First Round versus <span>Atlanta Hawks (1-3)</span>,,,
1986-87,Detroit Pistons,Pontiac Silverdome,52,0.634,0.6,C. Daly,B. Laimbeer (10.5),#1D428A,#C8102E,3.51,teams/DET/logos/1980-1996.png,Won First Round versus <span>Washington Bullets (3-0)</span>,Won Conference Semifinals versus <span>Atlanta Hawks (4-1)</span>,Lost Conference Finals versus <span>Boston Celtics (3-4)</span>,
1987-88,Detroit Pistons,Pontiac Silverdome,54,0.659,0.8,C. Daly,A. Dantley (9.4),#1D428A,#C8102E,5.46,teams/DET/logos/1980-1996.png,Won First Round versus <span>Washington Bullets (3-2)</span>,Won Conference Semifinals versus <span>Chicago Bulls (4-1)</span>,Won Conference Finals versus <span>Boston Celtics (4-2)</span>,Lost Finals versus <span>Los Angeles Lakers (3-4)</span>
1988-89,Detroit Pistons,The Palace of Auburn Hills,63,0.768,1,C. Daly,B. Laimbeer (9.0),#1D428A,#C8102E,6.24,teams/DET/logos/1980-1996.png,Won First Round versus <span>Boston Celtics (3-0)</span>,Won Conference Semifinals versus <span>Milwaukee Bucks (4-0)</span>,Won Conference Finals versus <span>Chicago Bulls (4-2)</span>,Won Finals versus <span>Los Angeles Lakers (4-0)</span>
