season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2
1946-47,Philadelphia Warriors,Philadelphia Arena,35,0.583,1,E. Gottlieb,J. Fulks (16.3),#FDB927,#006BB6
1947-48,Philadelphia Warriors,Philadelphia Arena,27,0.563,0.8,E. Gottlieb,H. Dallmar (7.0),#FDB927,#006BB6
1948-49,Philadelphia Warriors,Philadelphia Arena,28,0.467,0.4,E. Gottlieb,E. Sadowski (10.7),#FDB927,#006BB6
1949-50,Philadelphia Warriors,Philadelphia Arena,26,0.382,0.4,E. Gottlieb,L. Mogus (8.0),#FDB927,#006BB6
1950-51,Philadelphia Warriors,Philadelphia Arena,40,0.606,0.4,E. Gottlieb,P. Arizin (13.7),#FDB927,#006BB6
1951-52,Philadelphia Warriors,Philadelphia Arena,33,0.5,0.4,E. Gottlieb,P. Arizin (16.0),#FDB927,#006BB6
1952-53,Philadelphia Warriors,Philadelphia Civic Center,12,0.174,0,E. Gottlieb,N. Johnston (15.3),#FDB927,#006BB6
1953-54,Philadelphia Warriors,Philadelphia Civic Center,29,0.403,0,E. Gottlieb,N. Johnston (18.3),#FDB927,#006BB6
1954-55,Philadelphia Warriors,Philadelphia Civic Center,33,0.458,0,E. Gottlieb,N. Johnston (15.4),#FDB927,#006BB6
1955-56,Philadelphia Warriors,Philadelphia Civic Center,45,0.625,1,G. Senesky,N. Johnston (13.9),#FDB927,#006BB6
1956-57,Philadelphia Warriors,Philadelphia Civic Center,37,0.514,0.4,G. Senesky,N. Johnston (13.7),#FDB927,#006BB6
1957-58,Philadelphia Warriors,Philadelphia Civic Center,37,0.514,0.6,G. Senesky,N. Johnston (11.3),#FDB927,#006BB6
1958-59,Philadelphia Warriors,Philadelphia Civic Center,32,0.444,0,A. Cervi,P. Arizin (13.0),#FDB927,#006BB6
1959-60,Philadelphia Warriors,Philadelphia Civic Center,49,0.653,0.6,N. Johnston,W. Chamberlain (17.0),#FDB927,#006BB6
1960-61,Philadelphia Warriors,Philadelphia Civic Center,46,0.582,0.4,N. Johnston,W. Chamberlain (18.8),#FDB927,#006BB6
1961-62,Philadelphia Warriors,Philadelphia Civic Center,49,0.613,0.6,F. McGuire,W. Chamberlain (23.1),#FDB927,#006BB6
1962-63,San Francisco Warriors,Cow Palace,31,0.388,0,B. Feerick,W. Chamberlain (20.9),#FDB927,#006BB6
1963-64,San Francisco Warriors,Cow Palace,48,0.6,0.8,A. Hannum,W. Chamberlain (25.0),#FDB927,#006BB6
1964-65,San Francisco Warriors,San Francisco Civic Auditorium,17,0.213,0,A. Hannum,W. Chamberlain (7.5),#FDB927,#006BB6
1965-66,San Francisco Warriors,San Francisco Civic Auditorium,35,0.438,0,A. Hannum,R. Barry (10.4),#FDB927,#006BB6
1966-67,San Francisco Warriors,Oakland-Alameda County Coliseum Arena,44,0.543,0.8,B. Sharman,R. Barry (14.4),#FDB927,#006BB6
1967-68,San Francisco Warriors,Oakland-Alameda County Coliseum Arena,43,0.524,0.6,B. Sharman,R. LaRusso (8.6),#FDB927,#006BB6
1968-69,San Francisco Warriors,Oakland-Alameda County Coliseum Arena,41,0.5,0.4,G. Lee,J. Mullins (10.0),#FDB927,#006BB6
1969-70,San Francisco Warriors,Oakland-Alameda County Coliseum Arena,30,0.366,0,G. Lee/A. Attles,J. Lucas (7.6),#FDB927,#006BB6
1970-71,San Francisco Warriors,Oakland-Alameda County Coliseum Arena,41,0.5,0.4,A. Attles,J. Lucas (10.5),#FDB927,#006BB6
