season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,logo,opponent1,opponent2,opponent3,opponent4
1946-47,Philadelphia Warriors,Philadelphia Arena,35,0.583,1,E. Gottlieb,J. Fulks (16.3),#006BB6,#FDB927,3.16,teams/GSW/logos/1946-1951.png,Won Quarterfinals versus <span>St. Louis Bombers (2-1)</span>,Won Semifinals versus <span>New York Knicks (2-0)</span>,Won Finals versus <span>Chicago Stags (4-1)</span>,
1947-48,Philadelphia Warriors,Philadelphia Arena,27,0.563,0.8,E. Gottlieb,H. Dallmar (7.0),#006BB6,#FDB927,0.69,teams/GSW/logos/1946-1951.png,Quarterfinals Bye,Won Semifinals versus <span>St. Louis Bombers (4-3)</span>,Lost Finals versus <span>Baltimore Bullets (2-4)</span>,
1948-49,Philadelphia Warriors,Philadelphia Arena,28,0.467,0.4,E. Gottlieb,E. Sadowski (10.7),#006BB6,#FDB927,0.21,teams/GSW/logos/1946-1951.png,Lost Division Semifinals versus <span>Washington Capitols (0-2)</span>,,,
1949-50,Philadelphia Warriors,Philadelphia Arena,26,0.382,0.4,E. Gottlieb,L. Mogus (8.0),#006BB6,#FDB927,-2.27,teams/GSW/logos/1946-1951.png,Lost Division Semifinals versus <span>Syracuse Nationals (0-2)</span>,,,
1950-51,Philadelphia Warriors,Philadelphia Arena,40,0.606,0.4,E. Gottlieb,P. Arizin (13.7),#006BB6,#FDB927,3.4,teams/GSW/logos/1946-1951.png,Lost Division Semifinals versus <span>Syracuse Nationals (0-2)</span>,,,
1951-52,Philadelphia Warriors,Philadelphia Arena,33,0.5,0.4,E. Gottlieb,P. Arizin (16.0),#006BB6,#FDB927,-1.08,teams/GSW/logos/1952-1962.png,Lost Division Semifinals versus <span>Syracuse Nationals (1-2)</span>,,,
1952-53,Philadelphia Warriors,Philadelphia Civic Center,12,0.174,0,E. Gottlieb,N. Johnston (15.3),#006BB6,#FDB927,-7.75,teams/GSW/logos/1952-1962.png,,,,
1953-54,Philadelphia Warriors,Philadelphia Civic Center,29,0.403,0,E. Gottlieb,N. Johnston (18.3),#006BB6,#FDB927,-1.89,teams/GSW/logos/1952-1962.png,,,,
1954-55,Philadelphia Warriors,Philadelphia Civic Center,33,0.458,0,E. Gottlieb,N. Johnston (15.4),#006BB6,#FDB927,-0.19,teams/GSW/logos/1952-1962.png,,,,
1955-56,Philadelphia Warriors,Philadelphia Civic Center,45,0.625,1,G. Senesky,N. Johnston (13.9),#006BB6,#FDB927,3.82,teams/GSW/logos/1952-1962.png,Division Semifinals Bye,Won Division Finals versus <span>Syracuse Nationals (3-2)</span>,Won Finals versus <span>Fort Wayne Pistons (4-1)</span>,
1956-57,Philadelphia Warriors,Philadelphia Civic Center,37,0.514,0.4,G. Senesky,N. Johnston (13.7),#006BB6,#FDB927,1.54,teams/GSW/logos/1952-1962.png,Lost Division Semifinals versus <span>Syracuse Nationals (0-2)</span>,,,
1957-58,Philadelphia Warriors,Philadelphia Civic Center,37,0.514,0.6,G. Senesky,N. Johnston (11.3),#006BB6,#FDB927,0.21,teams/GSW/logos/1952-1962.png,Won Division Semifinals versus <span>Syracuse Nationals (2-1)</span>,Lost Division Finals versus <span>Boston Celtics (1-4)</span>,,
1958-59,Philadelphia Warriors,Philadelphia Civic Center,32,0.444,0,A. Cervi,P. Arizin (13.0),#006BB6,#FDB927,-2.29,teams/GSW/logos/1952-1962.png,,,,
1959-60,Philadelphia Warriors,Philadelphia Civic Center,49,0.653,0.6,N. Johnston,W. Chamberlain (17.0),#006BB6,#FDB927,2.77,teams/GSW/logos/1952-1962.png,Won Division Semifinals versus <span>Syracuse Nationals (2-1)</span>,Lost Division Finals versus <span>Boston Celtics (2-4)</span>,,
1960-61,Philadelphia Warriors,Philadelphia Civic Center,46,0.582,0.4,N. Johnston,W. Chamberlain (18.8),#006BB6,#FDB927,0.89,teams/GSW/logos/1952-1962.png,Lost Division Semifinals versus <span>Syracuse Nationals (0-3)</span>,,,
1961-62,Philadelphia Warriors,Philadelphia Civic Center,49,0.613,0.6,F. McGuire,W. Chamberlain (23.1),#006BB6,#FDB927,2.63,teams/GSW/logos/1952-1962.png,Won Division Semifinals versus <span>Syracuse Nationals (3-2)</span>,Lost Division Finals versus <span>Boston Celtics (3-4)</span>,,
1962-63,San Francisco Warriors,Cow Palace,31,0.388,0,B. Feerick,W. Chamberlain (20.9),#006BB6,#FDB927,-1.86,teams/GSW/logos/1963-1969.png,,,,
1963-64,San Francisco Warriors,Cow Palace,48,0.6,0.8,A. Hannum,W. Chamberlain (25.0),#006BB6,#FDB927,4.41,teams/GSW/logos/1963-1969.png,Division Semifinals Bye,Won Division Finals versus <span>St. Louis Hawks (4-3)</span>,Lost Finals versus <span>Boston Celtics (1-4)</span>,
1964-65,San Francisco Warriors,San Francisco Civic Auditorium,17,0.213,0,A. Hannum,W. Chamberlain (7.5),#006BB6,#FDB927,-5.49,teams/GSW/logos/1963-1969.png,,,,
