season,team,wins,winpercent,playoffs,coach,topWS,color1,color2
1976-77,Indiana Pacers,36,0.439,0,S. Leonard,B. Knight (10.7),#FFC633,#00275D
1977-78,Indiana Pacers,31,0.378,0,S. Leonard,D. Roundfield (6.9),#FFC633,#00275D
1978-79,Indiana Pacers,38,0.463,0,S. Leonard,J. Edwards (7.1),#FFC633,#00275D
1979-80,Indiana Pacers,37,0.451,0,S. Leonard,M. Johnson (7.3),#FFC633,#00275D
1980-81,Indiana Pacers,44,0.537,0.2,J. McKinney,B. Knight (8.4),#FFC633,#00275D
1981-82,Indiana Pacers,35,0.427,0,J. McKinney,D. Buse (7.1),#FFC633,#00275D
1982-83,Indiana Pacers,20,0.244,0,J. McKinney,C. Kellogg (6.8),#FFC633,#00275D
1983-84,Indiana Pacers,26,0.317,0,J. McKinney,C. Kellogg (7.0),#FFC633,#00275D
1984-85,Indiana Pacers,22,0.268,0,G. Irvine,C. Kellogg (6.1),#FFC633,#00275D
1985-86,Indiana Pacers,26,0.317,0,G. Irvine,V. Fleming (6.9),#FFC633,#00275D
1986-87,Indiana Pacers,41,0.5,0.2,J. Ramsay,S. Stipanovich (9.0),#FFC633,#00275D
1987-88,Indiana Pacers,38,0.463,0,J. Ramsay,V. Fleming (8.4),#FFC633,#00275D
1988-89,Indiana Pacers,28,0.341,0,J. Ramsay/M. Daniels/G. Irvine/D. Versace,R. Miller (6.5),#FFC633,#00275D
1989-90,Indiana Pacers,42,0.512,0.2,D. Versace,R. Miller (12.1),#FFC633,#00275D
1990-91,Indiana Pacers,41,0.5,0.2,D. Versace/B. Hill,R. Miller (12.5),#FFC633,#00275D
1991-92,Indiana Pacers,40,0.488,0.2,B. Hill,R. Miller (11.0),#FFC633,#00275D
1992-93,Indiana Pacers,41,0.5,0.2,B. Hill,R. Miller (11.3),#FFC633,#00275D
1993-94,Indiana Pacers,47,0.573,0.6,L. Brown,R. Miller (11.7),#FFC633,#00275D
1994-95,Indiana Pacers,52,0.634,0.6,L. Brown,R. Miller (11.4),#FFC633,#00275D
1995-96,Indiana Pacers,52,0.634,0.2,L. Brown,R. Miller (10.3),#FFC633,#00275D
1996-97,Indiana Pacers,39,0.476,0,L. Brown,R. Miller (12.3),#FFC633,#00275D
1997-98,Indiana Pacers,58,0.707,0.6,L. Bird,R. Miller (12.0),#FFC633,#00275D
1998-99,Indiana Pacers,33,0.66,0.6,L. Bird,R. Miller (6.4),#FFC633,#00275D
1999-00,Indiana Pacers,56,0.683,0.8,L. Bird,R. Miller (10.1),#FFC633,#00275D
2000-01,Indiana Pacers,41,0.5,0.2,I. Thomas,R. Miller (10.3),#FFC633,#00275D
2001-02,Indiana Pacers,42,0.512,0.2,I. Thomas,R. Miller (9.5),#FFC633,#00275D
2002-03,Indiana Pacers,48,0.585,0.2,I. Thomas,J. O'Neal (10.5),#FFC633,#00275D
2003-04,Indiana Pacers,61,0.744,0.6,R. Carlisle,J. O'Neal (9.0),#FFC633,#00275D
2004-05,Indiana Pacers,44,0.537,0.4,R. Carlisle,R. Miller (6.6),#FFC633,#00275D
2005-06,Indiana Pacers,41,0.5,0.2,R. Carlisle,J. Foster (5.7),#FFC633,#00275D
2006-07,Indiana Pacers,35,0.427,0,R. Carlisle,D. Granger (6.5),#FFC633,#00275D
2007-08,Indiana Pacers,36,0.439,0,J. O'Brien,M. Dunleavy (8.5),#FFC633,#00275D
2008-09,Indiana Pacers,36,0.439,0,J. O'Brien,T. Murphy (8.5),#FFC633,#00275D
2009-10,Indiana Pacers,32,0.39,0,J. O'Brien,T. Murphy (7.8),#FFC633,#00275D
2010-11,Indiana Pacers,37,0.451,0.2,J. O'Brien/F. Vogel,D. Granger (6.9),#FFC633,#00275D
2011-12,Indiana Pacers,42,0.636,0.4,F. Vogel,D. Granger (6.7),#FFC633,#00275D
2012-13,Indiana Pacers,49,0.605,0.6,F. Vogel,G. Hill (9.7),#FFC633,#00275D
2013-14,Indiana Pacers,56,0.683,0.6,F. Vogel,P. George (10.8),#FFC633,#00275D
2014-15,Indiana Pacers,38,0.463,0,F. Vogel,G. Hill (5.4),#FFC633,#00275D
