season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,logo,opponent1,opponent2,opponent3,opponent4
1976-77,Indiana Pacers,Market Square Arena,36,0.439,0,S. Leonard,B. Knight (10.7),#002D62,#FDBB30,-1.68,teams/IND/logos/1977-1990.png,,,,
1977-78,Indiana Pacers,Market Square Arena,31,0.378,0,S. Leonard,D. Roundfield (6.9),#002D62,#FDBB30,-2.37,teams/IND/logos/1977-1990.png,,,,
1978-79,Indiana Pacers,Market Square Arena,38,0.463,0,S. Leonard,J. Edwards (7.1),#002D62,#FDBB30,-1.41,teams/IND/logos/1977-1990.png,,,,
1979-80,Indiana Pacers,Market Square Arena,37,0.451,0,S. Leonard,M. Johnson (7.3),#002D62,#FDBB30,-0.54,teams/IND/logos/1977-1990.png,,,,
1980-81,Indiana Pacers,Market Square Arena,44,0.537,0.2,J. McKinney,B. Knight (8.4),#002D62,#FDBB30,1.72,teams/IND/logos/1977-1990.png,Lost First Round versus <span>Philadelphia 76ers (0-2)</span>,,,
1981-82,Indiana Pacers,Market Square Arena,35,0.427,0,J. McKinney,D. Buse (7.1),#002D62,#FDBB30,-1.49,teams/IND/logos/1977-1990.png,,,,
1982-83,Indiana Pacers,Market Square Arena,20,0.244,0,J. McKinney,C. Kellogg (6.8),#002D62,#FDBB30,-5.36,teams/IND/logos/1977-1990.png,,,,
1983-84,Indiana Pacers,Market Square Arena,26,0.317,0,J. McKinney,C. Kellogg (7.0),#002D62,#FDBB30,-4.25,teams/IND/logos/1977-1990.png,,,,
1984-85,Indiana Pacers,Market Square Arena,22,0.268,0,G. Irvine,C. Kellogg (6.1),#002D62,#FDBB30,-5.46,teams/IND/logos/1977-1990.png,,,,
1985-86,Indiana Pacers,Market Square Arena,26,0.317,0,G. Irvine,V. Fleming (6.9),#002D62,#FDBB30,-2.66,teams/IND/logos/1977-1990.png,,,,
1986-87,Indiana Pacers,Market Square Arena,41,0.5,0.2,J. Ramsay,S. Stipanovich (9.0),#002D62,#FDBB30,-0.17,teams/IND/logos/1977-1990.png,Lost First Round versus <span>Atlanta Hawks (1-3)</span>,,,
1987-88,Indiana Pacers,Market Square Arena,38,0.463,0,J. Ramsay,V. Fleming (8.4),#002D62,#FDBB30,-0.18,teams/IND/logos/1977-1990.png,,,,
1988-89,Indiana Pacers,Market Square Arena,28,0.341,0,J. Ramsay/M. Daniels/G. Irvine/D. Versace,R. Miller (6.5),#002D62,#FDBB30,-3,teams/IND/logos/1977-1990.png,,,,
1989-90,Indiana Pacers,Market Square Arena,42,0.512,0.2,D. Versace,R. Miller (12.1),#002D62,#FDBB30,-0.18,teams/IND/logos/1977-1990.png,Lost First Round versus <span>Detroit Pistons (0-3)</span>,,,
1990-91,Indiana Pacers,Market Square Arena,41,0.5,0.2,D. Versace/B. Hill,R. Miller (12.5),#002D62,#FDBB30,-0.37,teams/IND/logos/1991-2005.png,Lost First Round versus <span>Boston Celtics (2-3)</span>,,,
1991-92,Indiana Pacers,Market Square Arena,40,0.488,0.2,B. Hill,R. Miller (11.0),#002D62,#FDBB30,1.85,teams/IND/logos/1991-2005.png,Lost First Round versus <span>Boston Celtics (0-3)</span>,,,
