season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,opponent
1949-50,Minneapolis Lakers,Minneapolis Auditorium,51,0.75,1,J. Kundla,G. Mikan (21.1),#552583,#FDB927,8.25,Syracuse Nationals (4-2)
1950-51,Minneapolis Lakers,Minneapolis Auditorium,44,0.647,0.6,J. Kundla,G. Mikan (23.4),#552583,#FDB927,4.79,Rochester Royals (1-3)
1951-52,Minneapolis Lakers,Minneapolis Auditorium,40,0.606,1,J. Kundla,G. Mikan (14.4),#552583,#FDB927,5.28,New York Knicks (4-3)
1952-53,Minneapolis Lakers,Minneapolis Auditorium,48,0.686,1,J. Kundla,G. Mikan (14.6),#552583,#FDB927,5.54,New York Knicks (4-1)
1953-54,Minneapolis Lakers,Minneapolis Auditorium,46,0.639,1,J. Kundla,G. Mikan (12.7),#552583,#FDB927,2.71,Syracuse Nationals (4-3)
1954-55,Minneapolis Lakers,Minneapolis Auditorium,40,0.556,0.6,J. Kundla,V. Mikkelsen (10.9),#552583,#FDB927,0.96,Fort Wayne Pistons (1-3)
1955-56,Minneapolis Lakers,Minneapolis Auditorium,33,0.458,0.4,J. Kundla,C. Lovellette (8.1),#552583,#FDB927,-0.92,St. Louis Hawks (1-2)
1956-57,Minneapolis Lakers,Minneapolis Auditorium,34,0.472,0.6,J. Kundla,C. Lovellette (8.2),#552583,#FDB927,-0.89,St. Louis Hawks (0-3)
1957-58,Minneapolis Lakers,Minneapolis Auditorium,19,0.264,0,G. Mikan/J. Kundla,V. Mikkelsen (6.5),#552583,#FDB927,-5.78,
1958-59,Minneapolis Lakers,Minneapolis Auditorium,33,0.458,0.8,J. Kundla,E. Baylor (9.8),#552583,#FDB927,-1.42,Boston Celtics (0-4)
1959-60,Minneapolis Lakers,Minneapolis Armory,25,0.333,0.6,J. Castellani/J. Pollard,E. Baylor (11.5),#552583,#FDB927,-4.14,St. Louis Hawks (3-4)
1960-61,Los Angeles Lakers,Los Angeles Memorial Sports Arena,36,0.456,0.6,F. Schaus,E. Baylor (14.8),#552583,#FDB927,-0.11,St. Louis Hawks (3-4)
1961-62,Los Angeles Lakers,Los Angeles Memorial Sports Arena,54,0.675,0.8,F. Schaus,J. West (12.9),#552583,#FDB927,1.8,Boston Celtics (3-4)
1962-63,Los Angeles Lakers,Los Angeles Memorial Sports Arena,53,0.663,0.8,F. Schaus,E. Baylor (14.4),#552583,#FDB927,2.67,Boston Celtics (2-4)
1963-64,Los Angeles Lakers,Los Angeles Memorial Sports Arena,42,0.525,0.4,F. Schaus,J. West (14.0),#552583,#FDB927,0.87,St. Louis Hawks (2-3)
1964-65,Los Angeles Lakers,Los Angeles Memorial Sports Arena,49,0.613,0.8,F. Schaus,J. West (16.7),#552583,#FDB927,1.7,Boston Celtics (1-4)
1965-66,Los Angeles Lakers,Los Angeles Memorial Sports Arena,45,0.563,0.8,F. Schaus,J. West (17.1),#552583,#FDB927,2.76,Boston Celtics (3-4)
1966-67,Los Angeles Lakers,Los Angeles Memorial Sports Arena,36,0.444,0.4,F. Schaus,J. West (11.7),#552583,#FDB927,0.31,San Francisco Warriors (0-3)
1967-68,Los Angeles Lakers,The Forum,52,0.634,0.8,B. Van Breda Kolff,J. West (9.6),#552583,#FDB927,4.99,Boston Celtics (2-4)
1968-69,Los Angeles Lakers,The Forum,55,0.671,0.8,B. Van Breda Kolff,W. Chamberlain (14.7),#552583,#FDB927,3.84,Boston Celtics (3-4)
1969-70,Los Angeles Lakers,The Forum,46,0.561,0.8,J. Mullaney,J. West (15.2),#552583,#FDB927,1.76,New York Knicks (3-4)
1970-71,Los Angeles Lakers,The Forum,48,0.585,0.6,J. Mullaney,J. West (12.8),#552583,#FDB927,3.27,Milwaukee Bucks (1-4)
1971-72,Los Angeles Lakers,The Forum,69,0.841,1,B. Sharman,W. Chamberlain (15.8),#552583,#FDB927,11.65,New York Knicks (4-1)
1972-73,Los Angeles Lakers,The Forum,60,0.732,0.8,B. Sharman,W. Chamberlain (18.2),#552583,#FDB927,8.16,New York Knicks (1-4)
1973-74,Los Angeles Lakers,The Forum,47,0.573,0.4,B. Sharman,H. Hairston (9.3),#552583,#FDB927,0.85,Milwaukee Bucks (1-4)
1974-75,Los Angeles Lakers,The Forum,30,0.366,0,B. Sharman,H. Hairston (7.0),#552583,#FDB927,-3.94,
1975-76,Los Angeles Lakers,The Forum,40,0.488,0,B. Sharman,K. Abdul-Jabbar (17.0),#552583,#FDB927,0.18,
1976-77,Los Angeles Lakers,The Forum,53,0.646,0.6,J. West,K. Abdul-Jabbar (17.8),#552583,#FDB927,2.64,Portland Trail Blazers (0-4)
1977-78,Los Angeles Lakers,The Forum,45,0.549,0.2,J. West,K. Abdul-Jabbar (12.1),#552583,#FDB927,2.59,Seattle SuperSonics (1-2)
1978-79,Los Angeles Lakers,The Forum,47,0.573,0.4,J. West,K. Abdul-Jabbar (14.4),#552583,#FDB927,2.95,Seattle SuperSonics (1-4)
1979-80,Los Angeles Lakers,The Forum,60,0.732,1,J. McKinney/P. Westhead,K. Abdul-Jabbar (14.8),#552583,#FDB927,5.4,Philadelphia 76ers (4-2)
1980-81,Los Angeles Lakers,The Forum,54,0.659,0.2,P. Westhead,K. Abdul-Jabbar (14.3),#552583,#FDB927,3.27,Houston Rockets (1-2)
1981-82,Los Angeles Lakers,The Forum,57,0.695,1,P. Westhead/P. Riley,M. Johnson (12.9),#552583,#FDB927,4.37,Philadelphia 76ers (4-2)
1982-83,Los Angeles Lakers,The Forum,58,0.707,0.8,P. Riley,M. Johnson (12.5),#552583,#FDB927,5.06,Philadelphia 76ers (0-4)
1983-84,Los Angeles Lakers,The Forum,54,0.659,0.8,P. Riley,M. Johnson (10.2),#552583,#FDB927,3.32,Boston Celtics (3-4)
1984-85,Los Angeles Lakers,The Forum,62,0.756,1,P. Riley,M. Johnson (12.7),#552583,#FDB927,6.48,Boston Celtics (4-2)
1985-86,Los Angeles Lakers,The Forum,62,0.756,0.6,P. Riley,M. Johnson (12.1),#552583,#FDB927,6.84,Houston Rockets (1-4)
1986-87,Los Angeles Lakers,The Forum,65,0.793,1,P. Riley,M. Johnson (15.9),#552583,#FDB927,8.32,Boston Celtics (4-2)
1987-88,Los Angeles Lakers,The Forum,62,0.756,1,P. Riley,M. Johnson (10.9),#552583,#FDB927,4.81,Detroit Pistons (4-3)
1988-89,Los Angeles Lakers,Great Western Forum,57,0.695,0.8,P. Riley,M. Johnson (16.1),#552583,#FDB927,6.38,Detroit Pistons (0-4)
1989-90,Los Angeles Lakers,Great Western Forum,63,0.768,0.4,P. Riley,M. Johnson (16.5),#552583,#FDB927,6.74,Phoenix Suns (1-4)
