season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,logo,opponent1,opponent2,opponent3,opponent4
1948-49,Minneapolis Lakers,Minneapolis Auditorium,44,0.733,1,J. Kundla,G. Mikan (20.9),#552583,#FDB927,6.8,teams/LAL/logos/1949-1960.png,Won Division Semifinals versus <span>Chicago Stags (2-0)</span>,Won Division Finals versus <span>Rochester Royals (2-0)</span>,Won Finals versus <span>Washington Capitols (4-2)</span>,
1949-50,Minneapolis Lakers,Minneapolis Auditorium,51,0.75,1,J. Kundla,G. Mikan (21.1),#552583,#FDB927,8.25,teams/LAL/logos/1949-1960.png,Won Division Semifinals versus <span>Chicago Stags (2-0)</span>,Won Division Finals versus <span>Fort Wayne Pistons (2-0)</span>,Won Semifinals versus <span>Anderson Packers (2-0)</span>,Won Finals versus <span>Syracuse Nationals (4-2)</span>
1950-51,Minneapolis Lakers,Minneapolis Auditorium,44,0.647,0.6,J. Kundla,G. Mikan (23.4),#552583,#FDB927,4.79,teams/LAL/logos/1949-1960.png,Won Division Semifinals versus <span>Indianapolis Olympians (2-1)</span>,Lost Division Finals versus <span>Rochester Royals (1-3)</span>,,
1951-52,Minneapolis Lakers,Minneapolis Auditorium,40,0.606,1,J. Kundla,G. Mikan (14.4),#552583,#FDB927,5.28,teams/LAL/logos/1949-1960.png,Won Division Semifinals versus <span>Indianapolis Olympians (2-0)</span>,Won Division Finals versus <span>Rochester Royals (3-1)</span>,Won Finals versus <span>New York Knicks (4-3)</span>,
1952-53,Minneapolis Lakers,Minneapolis Auditorium,48,0.686,1,J. Kundla,G. Mikan (14.6),#552583,#FDB927,5.54,teams/LAL/logos/1949-1960.png,Won Division Semifinals versus <span>Indianapolis Olympians (2-0)</span>,Won Division Finals versus <span>Fort Wayne Pistons (3-2)</span>,Won Finals versus <span>New York Knicks (4-1)</span>,
1953-54,Minneapolis Lakers,Minneapolis Auditorium,46,0.639,1,J. Kundla,G. Mikan (12.7),#552583,#FDB927,2.71,teams/LAL/logos/1949-1960.png,Advanced from Division Round Robin,Won Division Finals versus <span>Rochester Royals (2-1)</span>,Won Finals versus <span>Syracuse Nationals (4-3)</span>,
1954-55,Minneapolis Lakers,Minneapolis Auditorium,40,0.556,0.6,J. Kundla,V. Mikkelsen (10.9),#552583,#FDB927,0.96,teams/LAL/logos/1949-1960.png,Won Division Semifinals versus <span>Rochester Royals (2-1)</span>,Lost Division Finals versus <span>Fort Wayne Pistons (1-3)</span>,,
1955-56,Minneapolis Lakers,Minneapolis Auditorium,33,0.458,0.4,J. Kundla,C. Lovellette (8.1),#552583,#FDB927,-0.92,teams/LAL/logos/1949-1960.png,Lost Division Semifinals versus <span>St. Louis Hawks (1-2)</span>,,,
1956-57,Minneapolis Lakers,Minneapolis Auditorium,34,0.472,0.6,J. Kundla,C. Lovellette (8.2),#552583,#FDB927,-0.89,teams/LAL/logos/1949-1960.png,Won Division Semifinals versus <span>Fort Wayne Pistons (2-0)</span>,Lost Division Finals versus <span>St. Louis Hawks (0-3)</span>,,
1957-58,Minneapolis Lakers,Minneapolis Auditorium,19,0.264,0,G. Mikan/J. Kundla,V. Mikkelsen (6.5),#552583,#FDB927,-5.78,teams/LAL/logos/1949-1960.png,,,,
