season,team,wins,winpercent,playoffs,coach,topWS,color1,color2
1995-96,Vancouver Grizzlies,15,0.183,0,B. Winters,G. Anthony (4.8),#0F586C,#7399C6
1996-97,Vancouver Grizzlies,14,0.171,0,B. Winters/S. Jackson,G. Anthony (3.5),#0F586C,#7399C6
1997-98,Vancouver Grizzlies,19,0.232,0,B. Hill,S. Abdur-Rahim (6.9),#0F586C,#7399C6
1998-99,Vancouver Grizzlies,8,0.16,0,B. Hill,S. Abdur-Rahim (4.6),#0F586C,#7399C6
1999-00,Vancouver Grizzlies,22,0.268,0,B. Hill/L. Hollins,S. Abdur-Rahim (8.8),#0F586C,#7399C6
2000-01,Vancouver Grizzlies,23,0.28,0,S. Lowe,S. Abdur-Rahim (8.5),#0F586C,#7399C6
2001-02,Memphis Grizzlies,23,0.28,0,S. Lowe,P. Gasol (7.6),#0F586C,#7399C6
2002-03,Memphis Grizzlies,28,0.341,0,S. Lowe/H. Brown,P. Gasol (8.5),#0F586C,#7399C6
2003-04,Memphis Grizzlies,50,0.61,0.2,H. Brown,J. Posey (10.0),#0F586C,#7399C6
2004-05,Memphis Grizzlies,45,0.549,0.2,H. Brown/L. Hollins/M. Fratello,S. Battier (7.8),#0F586C,#7399C6
2005-06,Memphis Grizzlies,49,0.598,0.2,M. Fratello,P. Gasol (12.0),#0F586C,#7399C6
2006-07,Memphis Grizzlies,22,0.268,0,M. Fratello/T. Barone,P. Gasol (6.9),#0F586C,#7399C6
2007-08,Memphis Grizzlies,22,0.268,0,M. Iavaroni,M. Miller (5.0),#0F586C,#7399C6
2008-09,Memphis Grizzlies,24,0.293,0,M. Iavaroni/J. Davis/L. Hollins,M. Gasol (6.4),#0F586C,#7399C6
2009-10,Memphis Grizzlies,40,0.488,0,L. Hollins,Z. Randolph (9.7),#0F586C,#7399C6
2010-11,Memphis Grizzlies,46,0.561,0.4,L. Hollins,Z. Randolph (10.5),#0F586C,#7399C6
2011-12,Memphis Grizzlies,41,0.621,0.2,L. Hollins,M. Gasol (8.2),#0F586C,#7399C6
2012-13,Memphis Grizzlies,56,0.683,0.6,L. Hollins,M. Gasol (11.5),#0F586C,#7399C6
2013-14,Memphis Grizzlies,50,0.61,0.2,D. Joerger,M. Conley (8.2),#0F586C,#7399C6
2014-15,Memphis Grizzlies,55,0.671,0.4,D. Joerger,M. Gasol (10.2),#0F586C,#7399C6
