season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,opponent1,opponent2,opponent3,opponent4
1995-96,Vancouver Grizzlies,General Motors Place,15,0.183,0,B. Winters,G. Anthony (4.8),#5D76A9,#12173F,-9.55,,,,
1996-97,Vancouver Grizzlies,General Motors Place,14,0.171,0,B. Winters/S. Jackson,G. Anthony (3.5),#5D76A9,#12173F,-10.17,,,,
1997-98,Vancouver Grizzlies,General Motors Place,19,0.232,0,B. Hill,S. Abdur-Rahim (6.9),#5D76A9,#12173F,-7.47,,,,
1998-99,Vancouver Grizzlies,General Motors Place,8,0.16,0,B. Hill,S. Abdur-Rahim (4.6),#5D76A9,#12173F,-8.94,,,,
1999-00,Vancouver Grizzlies,General Motors Place,22,0.268,0,B. Hill/L. Hollins,S. Abdur-Rahim (8.8),#5D76A9,#12173F,-5.1,,,,
2000-01,Vancouver Grizzlies,General Motors Place,23,0.28,0,S. Lowe,S. Abdur-Rahim (8.5),#5D76A9,#12173F,-4.94,,,,
2001-02,Memphis Grizzlies,Pyramid Arena,23,0.28,0,S. Lowe,P. Gasol (7.6),#5D76A9,#12173F,-6.74,,,,
2002-03,Memphis Grizzlies,Pyramid Arena,28,0.341,0,S. Lowe/H. Brown,P. Gasol (8.5),#5D76A9,#12173F,-2.6,,,,
2003-04,Memphis Grizzlies,Pyramid Arena,50,0.61,0.2,H. Brown,J. Posey (10.0),#5D76A9,#12173F,2.95,Lost First Round versus <span>San Antonio Spurs (0-4)</span>,,,
2004-05,Memphis Grizzlies,FedEx Forum,45,0.549,0.2,H. Brown/L. Hollins/M. Fratello,S. Battier (7.8),#5D76A9,#12173F,2.64,Lost First Round versus <span>Phoenix Suns (0-4)</span>,,,
2005-06,Memphis Grizzlies,FedEx Forum,49,0.598,0.2,M. Fratello,P. Gasol (12.0),#5D76A9,#12173F,3.74,Lost First Round versus <span>Dallas Mavericks (0-4)</span>,,,
2006-07,Memphis Grizzlies,FedEx Forum,22,0.268,0,M. Fratello/T. Barone,P. Gasol (6.9),#5D76A9,#12173F,-4.44,,,,
2007-08,Memphis Grizzlies,FedEx Forum,22,0.268,0,M. Iavaroni,M. Miller (5.0),#5D76A9,#12173F,-5.76,,,,
2008-09,Memphis Grizzlies,FedEx Forum,24,0.293,0,M. Iavaroni/J. Davis/L. Hollins,M. Gasol (6.4),#5D76A9,#12173F,-5.23,,,,
2009-10,Memphis Grizzlies,FedEx Forum,40,0.488,0,L. Hollins,Z. Randolph (9.7),#5D76A9,#12173F,-1.39,,,,
2010-11,Memphis Grizzlies,FedEx Forum,46,0.561,0.4,L. Hollins,Z. Randolph (10.5),#5D76A9,#12173F,2.55,Won First Round versus <span>San Antonio Spurs (4-2)</span>,Lost Conference Semifinals versus <span>Oklahoma City Thunder (3-4)</span>,,
2011-12,Memphis Grizzlies,FedEx Forum,41,0.621,0.2,L. Hollins,M. Gasol (8.2),#5D76A9,#12173F,2.43,Lost First Round versus <span>Los Angeles Clippers (3-4)</span>,,,
2012-13,Memphis Grizzlies,FedEx Forum,56,0.683,0.6,L. Hollins,M. Gasol (11.5),#5D76A9,#12173F,4.32,Won First Round versus <span>Los Angeles Clippers (4-2)</span>,Won Conference Semifinals versus <span>Oklahoma City Thunder (4-1)</span>,Lost Conference Finals versus <span>San Antonio Spurs (0-4)</span>,
2013-14,Memphis Grizzlies,FedEx Forum,50,0.61,0.2,D. Joerger,M. Conley (8.2),#5D76A9,#12173F,2.18,Lost First Round versus <span>Oklahoma City Thunder (3-4)</span>,,,
2014-15,Memphis Grizzlies,FedEx Forum,55,0.671,0.4,D. Joerger,M. Gasol (10.2),#5D76A9,#12173F,3.62,Won First Round versus <span>Portland Trail Blazers (4-1)</span>,Lost Conference Semifinals versus <span>Golden State Warriors (2-4)</span>,,
2015-16,Memphis Grizzlies,FedEx Forum,42,0.512,0.2,D. Joerger,M. Conley (5.3),#5D76A9,#12173F,-2.14,Lost First Round versus <span>San Antonio Spurs (0-4)</span>,,,
2016-17,Memphis Grizzlies,FedEx Forum,43,0.524,0.2,D. Fizdale,M. Conley (10.0),#5D76A9,#12173F,0.96,Lost First Round versus <span>San Antonio Spurs (2-4)</span>,,,
2017-18,Memphis Grizzlies,FedEx Forum,22,0.268,0,D. Fizdale/J. Bickerstaff,T. Evans (4.2),#5D76A9,#12173F,-5.81,,,,
2018-19,Memphis Grizzlies,FedEx Forum,33,0.402,0,J. Bickerstaff,M. Conley (8.0),#5D76A9,#12173F,-2.08,,,,
2019-20,Memphis Grizzlies,FedEx Forum,34,0.466,0,T. Jenkins,J. Valanciunas (7.0),#5D76A9,#12173F,-0.91,,,,
