season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,logo,opponent1,opponent2,opponent3,opponent4
1988-89,Miami Heat,Miami Arena,15,0.183,0,R. Rothstein,G. Long (4.6),#000000,#98002E,-11.13,teams/MIA/logos/1989-1999.png,,,,
1989-90,Miami Heat,Miami Arena,18,0.22,0,R. Rothstein,S. Douglas (4.4),#000000,#98002E,-9.59,teams/MIA/logos/1989-1999.png,,,,
1990-91,Miami Heat,Miami Arena,24,0.293,0,R. Rothstein,S. Douglas (5.4),#000000,#98002E,-5.91,teams/MIA/logos/1989-1999.png,,,,
1991-92,Miami Heat,Miami Arena,38,0.463,0.2,K. Loughery,G. Rice (7.9),#000000,#98002E,-3.94,teams/MIA/logos/1989-1999.png,Lost First Round versus <span>Chicago Bulls (0-3)</span>,,,
1992-93,Miami Heat,Miami Arena,36,0.439,0,K. Loughery,G. Long (6.5),#000000,#98002E,-0.93,teams/MIA/logos/1989-1999.png,,,,
1993-94,Miami Heat,Miami Arena,42,0.512,0.2,K. Loughery,G. Rice (10.2),#000000,#98002E,2.4,teams/MIA/logos/1989-1999.png,Lost First Round versus <span>Atlanta Hawks (2-3)</span>,,,
1994-95,Miami Heat,Miami Arena,32,0.39,0,K. Loughery/A. Gentry,G. Rice (10.0),#000000,#98002E,-1.85,teams/MIA/logos/1989-1999.png,,,,
1995-96,Miami Heat,Miami Arena,42,0.512,0.2,P. Riley,A. Mourning (9.9),#000000,#98002E,1.46,teams/MIA/logos/1989-1999.png,Lost First Round versus <span>Chicago Bulls (0-3)</span>,,,
1996-97,Miami Heat,Miami Arena,61,0.744,0.6,P. Riley,T. Hardaway (12.9),#000000,#98002E,5.56,teams/MIA/logos/1989-1999.png,Won First Round versus <span>Orlando Magic (3-2)</span>,Won Conference Semifinals versus <span>New York Knicks (4-3)</span>,Lost Conference Finals versus <span>Chicago Bulls (1-4)</span>,
1997-98,Miami Heat,Miami Arena,55,0.671,0.2,P. Riley,T. Hardaway (11.7),#000000,#98002E,5.09,teams/MIA/logos/1989-1999.png,Lost First Round versus <span>New York Knicks (2-3)</span>,,,
1998-99,Miami Heat,Miami Arena,33,0.66,0.2,P. Riley,A. Mourning (7.9),#000000,#98002E,5.11,teams/MIA/logos/1989-1999.png,Lost First Round versus <span>New York Knicks (2-3)</span>,,,
1999-00,Miami Heat,AmericanAirlines Arena,52,0.634,0.4,P. Riley,A. Mourning (12.9),#000000,#98002E,2.75,teams/MIA/logos/2000-present.png,Won First Round versus <span>Detroit Pistons (3-0)</span>,Lost Conference Semifinals versus <span>New York Knicks (3-4)</span>,,
2000-01,Miami Heat,AmericanAirlines Arena,50,0.61,0.2,P. Riley,A. Mason (11.6),#000000,#98002E,1.73,teams/MIA/logos/2000-present.png,Lost First Round versus <span>Charlotte Hornets (0-3)</span>,,,
2001-02,Miami Heat,AmericanAirlines Arena,36,0.439,0,P. Riley,E. Jones (10.5),#000000,#98002E,-1.84,teams/MIA/logos/2000-present.png,,,,
2002-03,Miami Heat,AmericanAirlines Arena,25,0.305,0,P. Riley,B. Grant (7.7),#000000,#98002E,-5.13,teams/MIA/logos/2000-present.png,,,,
2003-04,Miami Heat,AmericanAirlines Arena,42,0.512,0.4,S. Van Gundy,E. Jones (9.1),#000000,#98002E,-0.13,teams/MIA/logos/2000-present.png,Won First Round versus <span>New Orleans Hornets (4-3)</span>,Lost Conference Semifinals versus <span>Indiana Pacers (2-4)</span>,,
2004-05,Miami Heat,AmericanAirlines Arena,59,0.72,0.6,S. Van Gundy,D. Wade (11.0),#000000,#98002E,5.77,teams/MIA/logos/2000-present.png,Won First Round versus <span>New Jersey Nets (4-0)</span>,Won Conference Semifinals versus <span>Washington Wizards (4-0)</span>,Lost Conference Finals versus <span>Detroit Pistons (3-4)</span>,
2005-06,Miami Heat,AmericanAirlines Arena,52,0.634,1,S. Van Gundy/P. Riley,D. Wade (14.4),#000000,#98002E,3.59,teams/MIA/logos/2000-present.png,Won First Round versus <span>Chicago Bulls (4-2)</span>,Won Conference Semifinals versus <span>New Jersey Nets (4-1)</span>,Won Conference Finals versus <span>Detroit Pistons (4-2)</span>,Won Finals versus <span>Dallas Mavericks (4-2)</span>
2006-07,Miami Heat,AmericanAirlines Arena,44,0.537,0.2,P. Riley,D. Wade (8.8),#000000,#98002E,-1.21,teams/MIA/logos/2000-present.png,Lost First Round versus <span>Chicago Bulls (0-4)</span>,,,
2007-08,Miami Heat,AmericanAirlines Arena,15,0.183,0,P. Riley,D. Wade (3.3),#000000,#98002E,-8.53,teams/MIA/logos/2000-present.png,,,,
2008-09,Miami Heat,AmericanAirlines Arena,43,0.524,0.2,E. Spoelstra,D. Wade (14.7),#000000,#98002E,0.49,teams/MIA/logos/2000-present.png,Lost First Round versus <span>Atlanta Hawks (3-4)</span>,,,
2009-10,Miami Heat,AmericanAirlines Arena,47,0.573,0.2,E. Spoelstra,D. Wade (13.0),#000000,#98002E,1.99,teams/MIA/logos/2000-present.png,Lost First Round versus <span>Boston Celtics (1-4)</span>,,,
2010-11,Miami Heat,AmericanAirlines Arena,58,0.707,0.8,E. Spoelstra,L. James (15.6),#000000,#98002E,6.76,teams/MIA/logos/2000-present.png,Won First Round versus <span>Philadelphia 76ers (4-1)</span>,Won Conference Semifinals versus <span>Boston Celtics (4-1)</span>,Won Conference Finals versus <span>Chicago Bulls (4-1)</span>,Lost Finals versus <span>Dallas Mavericks (2-4)</span>
2011-12,Miami Heat,AmericanAirlines Arena,46,0.697,1,E. Spoelstra,L. James (14.5),#000000,#98002E,5.72,teams/MIA/logos/2000-present.png,Won First Round versus <span>New York Knicks (4-1)</span>,Won Conference Semifinals versus <span>Indiana Pacers (4-2)</span>,Won Conference Finals versus <span>Boston Celtics (4-3)</span>,Won Finals versus <span>Oklahoma City Thunder (4-1)</span>
2012-13,Miami Heat,AmericanAirlines Arena,66,0.805,1,E. Spoelstra,L. James (19.3),#000000,#98002E,7.03,teams/MIA/logos/2000-present.png,Won First Round versus <span>Milwaukee Bucks (4-0)</span>,Won Conference Semifinals versus <span>Chicago Bulls (4-1)</span>,Won Conference Finals versus <span>Indiana Pacers (4-3)</span>,Won Finals versus <span>San Antonio Spurs (4-3)</span>
2013-14,Miami Heat,AmericanAirlines Arena,54,0.659,0.8,E. Spoelstra,L. James (15.9),#000000,#98002E,4.15,teams/MIA/logos/2000-present.png,Won First Round versus <span>Charlotte Bobcats (4-0)</span>,Won Conference Semifinals versus <span>Brooklyn Nets (4-1)</span>,Won Conference Finals versus <span>Indiana Pacers (4-2)</span>,Lost Finals versus <span>San Antonio Spurs (1-4)</span>
2014-15,Miami Heat,AmericanAirlines Arena,37,0.451,0,E. Spoelstra,L. Deng (5.4),#000000,#98002E,-2.92,teams/MIA/logos/2000-present.png,,,,
2015-16,Miami Heat,AmericanAirlines Arena,48,0.585,0.4,E. Spoelstra,H. Whiteside (10.3),#000000,#98002E,1.5,teams/MIA/logos/2000-present.png,Won First Round versus <span>Charlotte Hornets (4-3)</span>,Lost Conference Semifinals versus <span>Toronto Raptors (3-4)</span>,,
2016-17,Miami Heat,AmericanAirlines Arena,41,0.5,0,E. Spoelstra,H. Whiteside (9.4),#000000,#98002E,0.77,teams/MIA/logos/2000-present.png,,,,
2017-18,Miami Heat,AmericanAirlines Arena,44,0.537,0.2,E. Spoelstra,K. Olynyk (5.5),#000000,#98002E,0.15,teams/MIA/logos/2000-present.png,Lost First Round versus <span>Philadelphia 76ers (1-4)</span>,,,
2018-19,Miami Heat,AmericanAirlines Arena,39,0.476,0,E. Spoelstra,B. Adebayo (6.8),#000000,#98002E,-0.45,teams/MIA/logos/2000-present.png,,,,
2019-20,Miami Heat,AmericanAirlines Arena,44,0.603,0.8,E. Spoelstra,J. Butler (9.0),#000000,#98002E,2.59,teams/MIA/logos/2000-present.png,Won First Round versus <span>Indiana Pacers (4-0)</span>,Won Conference Semifinals versus <span>Milwaukee Bucks (4-1)</span>,Won Conference Finals versus <span>Boston Celtics (4-2)</span>,Lost Finals versus <span>Los Angeles Lakers (2-4)</span>
2020-21,Miami Heat,AmericanAirlines Arena,40,0.556,0.2,E. Spoelstra,J. Butler (9.3),#000000,#98002E,-0.06,teams/MIA/logos/2000-present.png,Lost First Round versus <span>Milwaukee Bucks (0-4)</span>,,,
2021-22,Miami Heat,FTX Arena,53,0.646,,E. Spoelstra,J. Butler (9.2),#000000,#98002E,4.23,teams/MIA/logos/2000-present.png,Won First Round versus <span>Atlanta Hawks (4-1)</span>,Won Conference Semifinals versus <span>Philadelphia 76ers (4-2)</span>,,
