season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,logo,opponent1,opponent2,opponent3,opponent4
1989-90,Minnesota Timberwolves,Hubert H. Humphrey Metrodome,22,0.268,0,B. Musselman,T. Corbin (6.8),#0C2340,#78BE20,-3.6,teams/MIN/logos/1990-1996.png,,,,
1990-91,Minnesota Timberwolves,Target Center,29,0.354,0,B. Musselman,P. Richardson (5.9),#0C2340,#78BE20,-3.75,teams/MIN/logos/1990-1996.png,,,,
1991-92,Minnesota Timberwolves,Target Center,15,0.183,0,J. Rodgers,D. West (4.6),#0C2340,#78BE20,-6.85,teams/MIN/logos/1990-1996.png,,,,
1992-93,Minnesota Timberwolves,Target Center,19,0.232,0,J. Rodgers/S. Lowe,M. Williams (7.6),#0C2340,#78BE20,-7.62,teams/MIN/logos/1990-1996.png,,,,
1993-94,Minnesota Timberwolves,Target Center,20,0.244,0,S. Lowe,M. Williams (5.6),#0C2340,#78BE20,-6.55,teams/MIN/logos/1990-1996.png,,,,
1994-95,Minnesota Timberwolves,Target Center,21,0.256,0,B. Blair,C. Laettner (6.2),#0C2340,#78BE20,-8.22,teams/MIN/logos/1990-1996.png,,,,
1995-96,Minnesota Timberwolves,Target Center,26,0.317,0,B. Blair/F. Saunders,T. Gugliotta (5.3),#0C2340,#78BE20,-5.14,teams/MIN/logos/1990-1996.png,,,,
1996-97,Minnesota Timberwolves,Target Center,40,0.488,0.2,F. Saunders,K. Garnett (7.3),#0C2340,#78BE20,-1.82,teams/MIN/logos/1997-2008.png,Lost First Round versus <span>Houston Rockets (0-3)</span>,,,
1997-98,Minnesota Timberwolves,Target Center,45,0.549,0.2,F. Saunders,K. Garnett (9.6),#0C2340,#78BE20,0.17,teams/MIN/logos/1997-2008.png,Lost First Round versus <span>Seattle SuperSonics (2-3)</span>,,,
1998-99,Minnesota Timberwolves,Target Center,25,0.5,0.2,F. Saunders,K. Garnett (5.4),#0C2340,#78BE20,-0.17,teams/MIN/logos/1997-2008.png,Lost First Round versus <span>San Antonio Spurs (1-3)</span>,,,
1999-00,Minnesota Timberwolves,Target Center,50,0.61,0.2,F. Saunders,K. Garnett (11.6),#0C2340,#78BE20,2.67,teams/MIN/logos/1997-2008.png,Lost First Round versus <span>Portland Trail Blazers (1-3)</span>,,,
2000-01,Minnesota Timberwolves,Target Center,47,0.573,0.2,F. Saunders,K. Garnett (11.8),#0C2340,#78BE20,1.81,teams/MIN/logos/1997-2008.png,Lost First Round versus <span>San Antonio Spurs (1-3)</span>,,,
2001-02,Minnesota Timberwolves,Target Center,50,0.61,0.2,F. Saunders,K. Garnett (12.8),#0C2340,#78BE20,3.58,teams/MIN/logos/1997-2008.png,Lost First Round versus <span>Dallas Mavericks (0-3)</span>,,,
2002-03,Minnesota Timberwolves,Target Center,51,0.622,0.2,F. Saunders,K. Garnett (15.6),#0C2340,#78BE20,2.46,teams/MIN/logos/1997-2008.png,Lost First Round versus <span>Los Angeles Lakers (2-4)</span>,,,
2003-04,Minnesota Timberwolves,Target Center,58,0.707,0.6,F. Saunders,K. Garnett (18.3),#0C2340,#78BE20,5.86,teams/MIN/logos/1997-2008.png,Won First Round versus <span>Denver Nuggets (4-1)</span>,Won Conference Semifinals versus <span>Sacramento Kings (4-3)</span>,Lost Conference Finals versus <span>Los Angeles Lakers (2-4)</span>,
2004-05,Minnesota Timberwolves,Target Center,44,0.537,0,F. Saunders/K. McHale,K. Garnett (16.1),#0C2340,#78BE20,1.73,teams/MIN/logos/1997-2008.png,,,,
2005-06,Minnesota Timberwolves,Target Center,33,0.402,0,D. Casey,K. Garnett (14.9),#0C2340,#78BE20,-1.75,teams/MIN/logos/1997-2008.png,,,,
2006-07,Minnesota Timberwolves,Target Center,32,0.39,0,D. Casey/R. Wittman,K. Garnett (10.7),#0C2340,#78BE20,-3.16,teams/MIN/logos/1997-2008.png,,,,
2007-08,Minnesota Timberwolves,Target Center,22,0.268,0,R. Wittman,A. Jefferson (7.7),#0C2340,#78BE20,-6.26,teams/MIN/logos/1997-2008.png,,,,
2008-09,Minnesota Timberwolves,Target Center,24,0.293,0,R. Wittman/K. McHale,K. Love (5.3),#0C2340,#78BE20,-4.74,teams/MIN/logos/2009-2017.png,,,,
2009-10,Minnesota Timberwolves,Target Center,15,0.183,0,K. Rambis,K. Love (4.9),#0C2340,#78BE20,-9.06,teams/MIN/logos/2009-2017.png,,,,
2010-11,Minnesota Timberwolves,Target Center,17,0.207,0,K. Rambis,K. Love (11.4),#0C2340,#78BE20,-5.97,teams/MIN/logos/2009-2017.png,,,,
2011-12,Minnesota Timberwolves,Target Center,26,0.394,0,R. Adelman,K. Love (10.0),#0C2340,#78BE20,-1.83,teams/MIN/logos/2009-2017.png,,,,
2012-13,Minnesota Timberwolves,Target Center,31,0.378,0,R. Adelman,N. Pekovic (6.7),#0C2340,#78BE20,-1.83,teams/MIN/logos/2009-2017.png,,,,
2013-14,Minnesota Timberwolves,Target Center,40,0.488,0,R. Adelman,K. Love (14.3),#0C2340,#78BE20,3.1,teams/MIN/logos/2009-2017.png,,,,
2014-15,Minnesota Timberwolves,Target Center,16,0.195,0,F. Saunders,G. Dieng (4.9),#0C2340,#78BE20,-8,teams/MIN/logos/2009-2017.png,,,,
2015-16,Minnesota Timberwolves,Target Center,29,0.354,0,S. Mitchell,K. Towns (8.3),#0C2340,#78BE20,-3.38,teams/MIN/logos/2009-2017.png,,,,
2016-17,Minnesota Timberwolves,Target Center,31,0.378,0,T. Thibodeau,K. Towns (12.7),#0C2340,#78BE20,-0.64,teams/MIN/logos/2009-2017.png,,,,
2017-18,Minnesota Timberwolves,Target Center,47,0.573,0.2,T. Thibodeau,K. Towns (14.0),#0C2340,#78BE20,2.35,teams/MIN/logos/2018-present.png,Lost First Round versus <span>Houston Rockets (1-4)</span>,,,
2018-19,Minnesota Timberwolves,Target Center,36,0.439,0,T. Thibodeau/R. Saunders,K. Towns (10.4),#0C2340,#78BE20,-1.02,teams/MIN/logos/2018-present.png,,,,
2019-20,Minnesota Timberwolves,Target Center,19,0.297,0,R. Saunders,K. Towns (5.1),#0C2340,#78BE20,-4.02,teams/MIN/logos/2018-present.png,,,,
2020-21,Minnesota Timberwolves,Target Center,23,0.319,0,R. Saunders/C. Finch,K. Towns (5.4),#0C2340,#78BE20,-5.25,teams/MIN/logos/2018-present.png,,,,
2021-22,Minnesota Timberwolves,Target Center,46,0.561,0.2,C. Finch,K. Towns (10.3),#0C2340,#78BE20,2.53,teams/MIN/logos/2018-present.png,Lost First Round versus <span>Memphis Grizzlies (2-4)</span>,,,
2021-22,Minnesota Timberwolves,Target Center,42,0.512,0.2,C. Finch,R. Gobert (7.8),#0C2340,#78BE20,-0.22,teams/MIN/logos/2018-present.png,Lost First Round versus <span>Denver Nuggets (1-4)</span>,,,
