season,team,wins,winpercent,playoffs,coach,topWS,color1,color2
1946-47,New York Knicks,33,0.55,0.4,N. Cohalan,O. Schectman (4.3),#006BB6,#F58426
1947-48,New York Knicks,26,0.542,0.4,J. Lapchick,B. Palmer (7.4),#006BB6,#F58426
1948-49,New York Knicks,32,0.533,0.6,J. Lapchick,B. Palmer (7.2),#006BB6,#F58426
1949-50,New York Knicks,40,0.588,0.6,J. Lapchick,H. Gallatin (7.8),#006BB6,#F58426
1950-51,New York Knicks,36,0.545,0.8,J. Lapchick,H. Gallatin (7.6),#006BB6,#F58426
1951-52,New York Knicks,37,0.561,0.8,J. Lapchick,H. Gallatin (8.9),#006BB6,#F58426
1952-53,New York Knicks,47,0.671,0.8,J. Lapchick,H. Gallatin (11.3),#006BB6,#F58426
1953-54,New York Knicks,44,0.611,0.4,J. Lapchick,H. Gallatin (11.8),#006BB6,#F58426
1954-55,New York Knicks,38,0.528,0.4,J. Lapchick,H. Gallatin (8.3),#006BB6,#F58426
1955-56,New York Knicks,35,0.486,0.2,J. Lapchick/V. Boryla,K. Sears (6.2),#006BB6,#F58426
1956-57,New York Knicks,36,0.5,0,V. Boryla,H. Gallatin (8.1),#006BB6,#F58426
1957-58,New York Knicks,35,0.486,0,V. Boryla,K. Sears (10.0),#006BB6,#F58426
1958-59,New York Knicks,40,0.556,0.4,A. Levane,K. Sears (13.3),#006BB6,#F58426
1959-60,New York Knicks,27,0.36,0,A. Levane/C. Braun,K. Sears (8.8),#006BB6,#F58426
1960-61,New York Knicks,21,0.266,0,C. Braun,W. Naulls (5.7),#006BB6,#F58426
1961-62,New York Knicks,29,0.363,0,E. Donovan,R. Guerin (12.1),#006BB6,#F58426
1962-63,New York Knicks,21,0.263,0,E. Donovan,R. Guerin (7.2),#006BB6,#F58426
1963-64,New York Knicks,22,0.275,0,E. Donovan,B. McGill (4.5),#006BB6,#F58426
1964-65,New York Knicks,31,0.388,0,E. Donovan/H. Gallatin,W. Reed (5.5),#006BB6,#F58426
1965-66,New York Knicks,30,0.375,0,H. Gallatin/D. McGuire,W. Bellamy (8.9),#006BB6,#F58426
1966-67,New York Knicks,36,0.444,0.4,D. McGuire,W. Bellamy (8.8),#006BB6,#F58426
1967-68,New York Knicks,43,0.524,0.4,D. McGuire/R. Holzman,W. Bellamy (11.1),#006BB6,#F58426
1968-69,New York Knicks,54,0.659,0.6,R. Holzman,W. Reed (14.7),#006BB6,#F58426
1969-70,New York Knicks,60,0.732,1,R. Holzman,W. Frazier (15.0),#006BB6,#F58426
1970-71,New York Knicks,52,0.634,0.6,R. Holzman,W. Frazier (15.6),#006BB6,#F58426
1971-72,New York Knicks,48,0.585,0.8,R. Holzman,W. Frazier (14.5),#006BB6,#F58426
1972-73,New York Knicks,57,0.695,1,R. Holzman,W. Frazier (13.0),#006BB6,#F58426
1973-74,New York Knicks,49,0.598,0.6,R. Holzman,W. Frazier (10.9),#006BB6,#F58426
1974-75,New York Knicks,40,0.488,0.2,R. Holzman,W. Frazier (10.8),#006BB6,#F58426
1975-76,New York Knicks,38,0.463,0,R. Holzman,E. Monroe (7.2),#006BB6,#F58426
1976-77,New York Knicks,40,0.488,0,R. Holzman,B. McAdoo (7.9),#006BB6,#F58426
