season,team,wins,winpercent,playoffs,coach,topWS,color1,color2
1967-68,Seattle SuperSonics,23,0.28,0,A. Bianchi,B. Rule (6.4),#006031,#FFC222
1968-69,Seattle SuperSonics,30,0.366,0,A. Bianchi,L. Wilkens (9.0),#006031,#FFC222
1969-70,Seattle SuperSonics,36,0.439,0,L. Wilkens,D. Snyder (6.0),#006031,#FFC222
1970-71,Seattle SuperSonics,38,0.463,0,L. Wilkens,D. Snyder (10.0),#006031,#FFC222
1971-72,Seattle SuperSonics,47,0.573,0,L. Wilkens,L. Wilkens (9.6),#006031,#FFC222
1972-73,Seattle SuperSonics,26,0.317,0,T. Nissalke/B. Buckwalter,S. Haywood (10.2),#006031,#FFC222
1973-74,Seattle SuperSonics,36,0.439,0,B. Russell,S. Haywood (9.7),#006031,#FFC222
1974-75,Seattle SuperSonics,43,0.524,0.4,B. Russell,F. Brown (7.9),#006031,#FFC222
1975-76,Seattle SuperSonics,43,0.524,0.4,B. Russell,F. Brown (8.8),#006031,#FFC222
1976-77,Seattle SuperSonics,40,0.488,0,B. Russell,F. Brown (6.1),#006031,#FFC222
1977-78,Seattle SuperSonics,47,0.573,0.8,B. Hopkins/L. Wilkens,M. Webster (8.7),#006031,#FFC222
1978-79,Seattle SuperSonics,52,0.634,1,L. Wilkens,J. Sikma (8.8),#006031,#FFC222
1979-80,Seattle SuperSonics,56,0.683,0.6,L. Wilkens,G. Williams (11.6),#006031,#FFC222
1980-81,Seattle SuperSonics,34,0.415,0,L. Wilkens,J. Sikma (8.0),#006031,#FFC222
1981-82,Seattle SuperSonics,52,0.634,0.4,L. Wilkens,J. Sikma (12.6),#006031,#FFC222
1982-83,Seattle SuperSonics,48,0.585,0.2,L. Wilkens,J. Sikma (9.8),#006031,#FFC222
1983-84,Seattle SuperSonics,42,0.512,0.2,L. Wilkens,J. Sikma (9.7),#006031,#FFC222
1984-85,Seattle SuperSonics,31,0.378,0,L. Wilkens,J. Sikma (8.3),#006031,#FFC222
1985-86,Seattle SuperSonics,31,0.378,0,B. Bickerstaff,J. Sikma (7.8),#006031,#FFC222
1986-87,Seattle SuperSonics,39,0.476,0.6,B. Bickerstaff,D. Ellis (9.3),#006031,#FFC222
1987-88,Seattle SuperSonics,44,0.537,0.2,B. Bickerstaff,D. Ellis (9.0),#006031,#FFC222
1988-89,Seattle SuperSonics,47,0.573,0.4,B. Bickerstaff,D. Ellis (10.8),#006031,#FFC222
1989-90,Seattle SuperSonics,41,0.5,0,B. Bickerstaff,M. Cage (6.8),#006031,#FFC222
1990-91,Seattle SuperSonics,41,0.5,0.2,K. Jones,D. McKey (6.4),#006031,#FFC222
1991-92,Seattle SuperSonics,47,0.573,0.4,K. Jones/B. Kloppenburg/G. Karl,R. Pierce (7.8),#006031,#FFC222
1992-93,Seattle SuperSonics,55,0.671,0.6,G. Karl,S. Kemp (9.1),#006031,#FFC222
1993-94,Seattle SuperSonics,63,0.768,0.2,G. Karl,S. Kemp (11.7),#006031,#FFC222
1994-95,Seattle SuperSonics,57,0.695,0.2,G. Karl,D. Schrempf (12.9),#006031,#FFC222
1995-96,Seattle SuperSonics,64,0.78,0.8,G. Karl,G. Payton (11.5),#006031,#FFC222
1996-97,Seattle SuperSonics,57,0.695,0.4,G. Karl,G. Payton (12.9),#006031,#FFC222
1997-98,Seattle SuperSonics,61,0.744,0.4,G. Karl,G. Payton (12.5),#006031,#FFC222
1998-99,Seattle SuperSonics,25,0.5,0,P. Westphal,G. Payton (7.2),#006031,#FFC222
1999-00,Seattle SuperSonics,45,0.549,0.2,P. Westphal,G. Payton (13.9),#006031,#FFC222
2000-01,Seattle SuperSonics,44,0.537,0,P. Westphal/N. McMillan,G. Payton (10.8),#006031,#FFC222
2001-02,Seattle SuperSonics,45,0.549,0.2,N. McMillan,G. Payton (12.6),#006031,#FFC222
2002-03,Seattle SuperSonics,40,0.488,0,N. McMillan,R. Lewis (7.8),#006031,#FFC222
2003-04,Seattle SuperSonics,37,0.451,0,N. McMillan,R. Allen (6.9),#006031,#FFC222
2004-05,Seattle SuperSonics,52,0.634,0.4,N. McMillan,R. Allen (10.7),#006031,#FFC222
2005-06,Seattle SuperSonics,35,0.427,0,B. Weiss/B. Hill,R. Allen (9.5),#006031,#FFC222
2006-07,Seattle SuperSonics,31,0.378,0,B. Hill,R. Lewis (7.6),#006031,#FFC222
2007-08,Seattle SuperSonics,20,0.244,0,P. Carlesimo,N. Collison (4.5),#006031,#FFC222
2008-09,Oklahoma City Thunder,23,0.28,0,P. Carlesimo/S. Brooks,K. Durant (7.9),#007DC3,#F05133
2009-10,Oklahoma City Thunder,50,0.61,0.2,S. Brooks,K. Durant (16.1),#007DC3,#F05133
2010-11,Oklahoma City Thunder,55,0.671,0.6,S. Brooks,K. Durant (12.0),#007DC3,#F05133
2011-12,Oklahoma City Thunder,47,0.712,0.8,S. Brooks,K. Durant (12.2),#007DC3,#F05133
2012-13,Oklahoma City Thunder,60,0.732,0.4,S. Brooks,K. Durant (18.9),#007DC3,#F05133
2013-14,Oklahoma City Thunder,59,0.72,0.6,S. Brooks,K. Durant (19.2),#007DC3,#F05133
2014-15,Oklahoma City Thunder,45,0.549,0,S. Brooks,R. Westbrook (10.6),#007DC3,#F05133
