season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,opponent1,opponent2,opponent3,opponent4
1967-68,Seattle SuperSonics,Seattle Center Coliseum,23,0.28,0,A. Bianchi,B. Rule (6.4),#006031,#FFC222,-6,,,,
1968-69,Seattle SuperSonics,Seattle Center Coliseum,30,0.366,0,A. Bianchi,L. Wilkens (9.0),#006031,#FFC222,-4.68,,,,
1969-70,Seattle SuperSonics,Seattle Center Coliseum,36,0.439,0,L. Wilkens,D. Snyder (6.0),#006031,#FFC222,-2.43,,,,
1970-71,Seattle SuperSonics,Seattle Center Coliseum,38,0.463,0,L. Wilkens,D. Snyder (10.0),#006031,#FFC222,-1.53,,,,
1971-72,Seattle SuperSonics,Seattle Center Coliseum,47,0.573,0,L. Wilkens,L. Wilkens (9.6),#006031,#FFC222,0.86,,,,
1972-73,Seattle SuperSonics,Seattle Center Coliseum,26,0.317,0,T. Nissalke/B. Buckwalter,S. Haywood (10.2),#006031,#FFC222,-5.33,,,,
1973-74,Seattle SuperSonics,Seattle Center Coliseum,36,0.439,0,B. Russell,S. Haywood (9.7),#006031,#FFC222,-2.29,,,,
1974-75,Seattle SuperSonics,Seattle Center Coliseum,43,0.524,0.4,B. Russell,F. Brown (7.9),#006031,#FFC222,-1.19,Won First Round versus <span>Detroit Pistons (2-1)</span>,Lost Conference Semifinals versus <span>Golden State Warriors (2-4)</span>,,
1975-76,Seattle SuperSonics,Seattle Center Coliseum,43,0.524,0.4,B. Russell,F. Brown (8.8),#006031,#FFC222,-0.15,First Round Bye,Lost Conference Semifinals versus <span>Phoenix Suns (2-4)</span>,,
1976-77,Seattle SuperSonics,Seattle Center Coliseum,40,0.488,0,B. Russell,F. Brown (6.1),#006031,#FFC222,-1.43,,,,
1977-78,Seattle SuperSonics,Seattle Center Coliseum,47,0.573,0.8,B. Hopkins/L. Wilkens,M. Webster (8.7),#006031,#FFC222,1.48,Won First Round versus <span>Los Angeles Lakers (2-1)</span>,Won Conference Semifinals versus <span>Portland Trail Blazers (4-2)</span>,Won Conference Finals versus <span>Denver Nuggets (4-2)</span>,Lost Finals versus <span>Washington Bullets (3-4)</span>
1978-79,Seattle SuperSonics,King County Domed Stadium,52,0.634,1,L. Wilkens,J. Sikma (8.8),#006031,#FFC222,2.69,First Round Bye,Won Conference Semifinals versus <span>Los Angeles Lakers (4-1)</span>,Won Conference Finals versus <span>Phoenix Suns (4-3)</span>,Won Finals versus <span>Washington Bullets (4-1)</span>
