season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,opponent
1949-50,Syracuse Nationals,State Fair Coliseum,51,0.797,0.8,A. Cervi,D. Schayes (12.8),#006BB6,#ED174C,6.48,Minneapolis Lakers (2-4)
1950-51,Syracuse Nationals,State Fair Coliseum,32,0.485,0.6,A. Cervi,D. Schayes (10.3),#006BB6,#ED174C,0.62,New York Knicks (2-3)
1951-52,Syracuse Nationals,Onondaga War Memorial,40,0.606,0.6,A. Cervi,D. Schayes (8.5),#006BB6,#ED174C,3.94,New York Knicks (1-3)
1952-53,Syracuse Nationals,Onondaga War Memorial,47,0.662,0.4,A. Cervi,D. Schayes (13.1),#006BB6,#ED174C,3.62,Boston Celtics (0-2)
1953-54,Syracuse Nationals,Onondaga War Memorial,42,0.583,0.8,A. Cervi,D. Schayes (14.8),#006BB6,#ED174C,4.27,Minneapolis Lakers (3-4)
1954-55,Syracuse Nationals,Onondaga War Memorial,43,0.597,1,A. Cervi,D. Schayes (12.0),#006BB6,#ED174C,1.23,Fort Wayne Pistons (4-3)
1955-56,Syracuse Nationals,Onondaga War Memorial,35,0.486,0.6,A. Cervi,D. Schayes (11.8),#006BB6,#ED174C,0.17,Philadelphia Warriors (2-3)
1956-57,Syracuse Nationals,Onondaga War Memorial,38,0.528,0.6,A. Cervi/P. Seymour,D. Schayes (12.5),#006BB6,#ED174C,-1.03,Boston Celtics (0-3)
1957-58,Syracuse Nationals,Onondaga War Memorial,41,0.569,0.4,P. Seymour,D. Schayes (13.7),#006BB6,#ED174C,2.18,Philadelphia Warriors (1-2)
1958-59,Syracuse Nationals,Onondaga War Memorial,35,0.486,0.6,P. Seymour,D. Schayes (9.4),#006BB6,#ED174C,3.74,Boston Celtics (3-4)
1959-60,Syracuse Nationals,Onondaga War Memorial,45,0.6,0.4,P. Seymour,D. Schayes (9.5),#006BB6,#ED174C,2.77,Philadelphia Warriors (1-2)
1960-61,Syracuse Nationals,Onondaga War Memorial,38,0.481,0.6,A. Hannum,L. Costello (8.6),#006BB6,#ED174C,1.93,Boston Celtics (1-4)
1961-62,Syracuse Nationals,Onondaga War Memorial,41,0.513,0.4,A. Hannum,H. Greer (8.5),#006BB6,#ED174C,2.24,Philadelphia Warriors (2-3)
1962-63,Syracuse Nationals,Onondaga War Memorial,48,0.6,0.4,A. Hannum,H. Greer (8.2),#006BB6,#ED174C,3.4,Cincinnati Royals (2-3)
1963-64,Philadelphia 76ers,Convention Hall,34,0.425,0.4,D. Schayes,H. Greer (8.1),#006BB6,#ED174C,-3.75,Cincinnati Royals (2-3)
1964-65,Philadelphia 76ers,Convention Hall,40,0.5,0.6,D. Schayes,W. Chamberlain (7.6),#006BB6,#ED174C,-0.13,Boston Celtics (3-4)
1965-66,Philadelphia 76ers,Convention Hall,55,0.688,0.6,D. Schayes,W. Chamberlain (21.4),#006BB6,#ED174C,4.16,Boston Celtics (1-4)
1966-67,Philadelphia 76ers,Convention Hall,68,0.84,1,A. Hannum,W. Chamberlain (21.9),#006BB6,#ED174C,8.5,San Francisco Warriors (4-2)
1967-68,Philadelphia 76ers,The Spectrum,62,0.756,0.6,A. Hannum,W. Chamberlain (20.4),#006BB6,#ED174C,7.96,Boston Celtics (3-4)
1968-69,Philadelphia 76ers,The Spectrum,55,0.671,0.4,J. Ramsay,H. Greer (9.9),#006BB6,#ED174C,4.79,Boston Celtics (1-4)
1969-70,Philadelphia 76ers,The Spectrum,42,0.512,0.4,J. Ramsay,B. Cunningham (10.3),#006BB6,#ED174C,3.32,Milwaukee Bucks (1-4)
1970-71,Philadelphia 76ers,The Spectrum,47,0.573,0.4,J. Ramsay,A. Clark (11.4),#006BB6,#ED174C,1.81,Baltimore Bullets (3-4)
1971-72,Philadelphia 76ers,The Spectrum,30,0.366,0,J. Ramsay,B. Cunningham (8.3),#006BB6,#ED174C,-3.44,
1972-73,Philadelphia 76ers,The Spectrum,9,0.11,0,R. Rubin/K. Loughery,J. Block (3.4),#006BB6,#ED174C,-11.5,
1973-74,Philadelphia 76ers,The Spectrum,25,0.305,0,G. Shue,S. Mix (8.2),#006BB6,#ED174C,-5.94,
1974-75,Philadelphia 76ers,The Spectrum,34,0.415,0,G. Shue,D. Collins (7.7),#006BB6,#ED174C,-2.6,
1975-76,Philadelphia 76ers,The Spectrum,46,0.561,0.2,G. Shue,D. Collins (10.0),#006BB6,#ED174C,0.33,Buffalo Braves (1-2)
1976-77,Philadelphia 76ers,The Spectrum,50,0.61,0.8,G. Shue,J. Erving (11.5),#006BB6,#ED174C,3.78,Portland Trail Blazers (2-4)
1977-78,Philadelphia 76ers,The Spectrum,55,0.671,0.6,G. Shue/B. Cunningham,J. Erving (9.1),#006BB6,#ED174C,4.87,Washington Bullets (2-4)
1978-79,Philadelphia 76ers,The Spectrum,47,0.573,0.4,B. Cunningham,J. Erving (7.9),#006BB6,#ED174C,1.74,San Antonio Spurs (3-4)
1979-80,Philadelphia 76ers,The Spectrum,59,0.72,0.8,B. Cunningham,J. Erving (12.5),#006BB6,#ED174C,4.04,Los Angeles Lakers (2-4)
1980-81,Philadelphia 76ers,The Spectrum,62,0.756,0.6,B. Cunningham,J. Erving (13.8),#006BB6,#ED174C,7.76,Boston Celtics (3-4)
1981-82,Philadelphia 76ers,The Spectrum,58,0.707,0.8,B. Cunningham,J. Erving (13.3),#006BB6,#ED174C,5.74,Los Angeles Lakers (2-4)
1982-83,Philadelphia 76ers,The Spectrum,65,0.793,1,B. Cunningham,M. Malone (15.1),#006BB6,#ED174C,7.53,Los Angeles Lakers (4-0)
1983-84,Philadelphia 76ers,The Spectrum,52,0.634,0.2,B. Cunningham,J. Erving (10.1),#006BB6,#ED174C,2.39,New Jersey Nets (2-3)
1984-85,Philadelphia 76ers,The Spectrum,58,0.707,0.6,B. Cunningham,M. Malone (11.9),#006BB6,#ED174C,4.17,Boston Celtics (1-4)
1985-86,Philadelphia 76ers,The Spectrum,54,0.659,0.4,M. Guokas,C. Barkley (10.8),#006BB6,#ED174C,2.46,Milwaukee Bucks (3-4)
1986-87,Philadelphia 76ers,The Spectrum,45,0.549,0.2,M. Guokas,C. Barkley (12.0),#006BB6,#ED174C,0.11,Milwaukee Bucks (2-3)
1987-88,Philadelphia 76ers,The Spectrum,36,0.439,0,M. Guokas/J. Lynam,C. Barkley (16.7),#006BB6,#ED174C,-0.79,
1988-89,Philadelphia 76ers,The Spectrum,46,0.561,0.2,J. Lynam,C. Barkley (16.1),#006BB6,#ED174C,1.68,New York Knicks (0-3)
1989-90,Philadelphia 76ers,The Spectrum,53,0.646,0.4,J. Lynam,C. Barkley (17.3),#006BB6,#ED174C,4.23,Chicago Bulls (1-4)
1990-91,Philadelphia 76ers,The Spectrum,44,0.537,0.4,J. Lynam,C. Barkley (13.4),#006BB6,#ED174C,-0.39,Chicago Bulls (1-4)
1991-92,Philadelphia 76ers,The Spectrum,35,0.427,0,J. Lynam,C. Barkley (12.3),#006BB6,#ED174C,-1.34,
1992-93,Philadelphia 76ers,The Spectrum,26,0.317,0,D. Moe/F. Carter,H. Hawkins (8.5),#006BB6,#ED174C,-5.25,
1993-94,Philadelphia 76ers,The Spectrum,25,0.305,0,F. Carter,C. Weatherspoon (6.0),#006BB6,#ED174C,-7.37,
1994-95,Philadelphia 76ers,CoreStates Spectrum,24,0.293,0,J. Lucas,D. Barros (12.7),#006BB6,#ED174C,-5.06,
