season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,logo,opponent1,opponent2,opponent3,opponent4
1949-50,Syracuse Nationals,State Fair Coliseum,51,0.797,0.8,A. Cervi,D. Schayes (12.8),#006BB6,#ED174C,6.48,teams/PHI/logos/1950-1963.png,Won Division Semifinals versus <span>Philadelphia Warriors (2-0)</span>,Won Division Finals versus <span>New York Knicks (2-1)</span>,Lost Finals versus <span>Minneapolis Lakers (2-4)</span>,
1950-51,Syracuse Nationals,State Fair Coliseum,32,0.485,0.6,A. Cervi,D. Schayes (10.3),#006BB6,#ED174C,0.62,teams/PHI/logos/1950-1963.png,Won Division Semifinals versus <span>Philadelphia Warriors (2-0)</span>,Lost Division Finals versus <span>New York Knicks (2-3)</span>,,
1951-52,Syracuse Nationals,Onondaga War Memorial,40,0.606,0.6,A. Cervi,D. Schayes (8.5),#006BB6,#ED174C,3.94,teams/PHI/logos/1950-1963.png,Won Division Semifinals versus <span>Philadelphia Warriors (2-1)</span>,Lost Division Finals versus <span>New York Knicks (1-3)</span>,,
1952-53,Syracuse Nationals,Onondaga War Memorial,47,0.662,0.4,A. Cervi,D. Schayes (13.1),#006BB6,#ED174C,3.62,teams/PHI/logos/1950-1963.png,Lost Division Semifinals versus <span>Boston Celtics (0-2)</span>,,,
1953-54,Syracuse Nationals,Onondaga War Memorial,42,0.583,0.8,A. Cervi,D. Schayes (14.8),#006BB6,#ED174C,4.27,teams/PHI/logos/1950-1963.png,Advanced from Division Round Robin,Won Division Finals versus <span>Boston Celtics</span>,Lost Finals versus <span>Minneapolis Lakers (3-4)</span>,
1954-55,Syracuse Nationals,Onondaga War Memorial,43,0.597,1,A. Cervi,D. Schayes (12.0),#006BB6,#ED174C,1.23,teams/PHI/logos/1950-1963.png,Division Semifinals Bye,Won Division Finals versus <span>Boston Celtics (3-1)</span>,Won Finals versus <span>Fort Wayne Pistons (4-3)</span>,
1955-56,Syracuse Nationals,Onondaga War Memorial,35,0.486,0.6,A. Cervi,D. Schayes (11.8),#006BB6,#ED174C,0.17,teams/PHI/logos/1950-1963.png,Won Division Semifinals versus <span>Boston Celtics (2-1)</span>,Lost Division Finals versus <span>Philadelphia Warriors (2-3)</span>,,
1956-57,Syracuse Nationals,Onondaga War Memorial,38,0.528,0.6,A. Cervi/P. Seymour,D. Schayes (12.5),#006BB6,#ED174C,-1.03,teams/PHI/logos/1950-1963.png,Won Division Semifinals versus <span>Philadelphia Warriors (2-0)</span>,Lost Division Finals versus <span>Boston Celtics (0-3)</span>,,
1957-58,Syracuse Nationals,Onondaga War Memorial,41,0.569,0.4,P. Seymour,D. Schayes (13.7),#006BB6,#ED174C,2.18,teams/PHI/logos/1950-1963.png,Lost Division Semifinals versus <span>Philadelphia Warriors (1-2)</span>,,,
1958-59,Syracuse Nationals,Onondaga War Memorial,35,0.486,0.6,P. Seymour,D. Schayes (9.4),#006BB6,#ED174C,3.74,teams/PHI/logos/1950-1963.png,Won Division Semifinals versus <span>New York Knicks (2-0)</span>,Lost Division Finals versus <span>Boston Celtics (3-4)</span>,,
1959-60,Syracuse Nationals,Onondaga War Memorial,45,0.6,0.4,P. Seymour,D. Schayes (9.5),#006BB6,#ED174C,2.77,teams/PHI/logos/1950-1963.png,Lost Division Semifinals versus <span>Philadelphia Warriors (1-2)</span>,,,
1960-61,Syracuse Nationals,Onondaga War Memorial,38,0.481,0.6,A. Hannum,L. Costello (8.6),#006BB6,#ED174C,1.93,teams/PHI/logos/1950-1963.png,Won Division Semifinals versus <span>Philadelphia Warriors (3-0)</span>,Lost Division Finals versus <span>Boston Celtics (1-4)</span>,,
1961-62,Syracuse Nationals,Onondaga War Memorial,41,0.513,0.4,A. Hannum,H. Greer (8.5),#006BB6,#ED174C,2.24,teams/PHI/logos/1950-1963.png,Lost Division Semifinals versus <span>Philadelphia Warriors (2-3)</span>,,,
1962-63,Syracuse Nationals,Onondaga War Memorial,48,0.6,0.4,A. Hannum,H. Greer (8.2),#006BB6,#ED174C,3.4,teams/PHI/logos/1950-1963.png,Lost Division Semifinals versus <span>Cincinnati Royals (2-3)</span>,,,
1963-64,Philadelphia 76ers,Convention Hall,34,0.425,0.4,D. Schayes,H. Greer (8.1),#006BB6,#ED174C,-3.75,teams/PHI/logos/1964-1977.png,Lost Division Semifinals versus <span>Cincinnati Royals (2-3)</span>,,,
1964-65,Philadelphia 76ers,Convention Hall,40,0.5,0.6,D. Schayes,W. Chamberlain (7.6),#006BB6,#ED174C,-0.13,teams/PHI/logos/1964-1977.png,Won Division Semifinals versus <span>Cincinnati Royals (3-1)</span>,Lost Division Finals versus <span>Boston Celtics (3-4)</span>,,
1965-66,Philadelphia 76ers,Convention Hall,55,0.688,0.6,D. Schayes,W. Chamberlain (21.4),#006BB6,#ED174C,4.16,teams/PHI/logos/1964-1977.png,Division Semifinals Bye,Lost Division Finals versus <span>Boston Celtics (1-4)</span>,,
1966-67,Philadelphia 76ers,Convention Hall,68,0.84,1,A. Hannum,W. Chamberlain (21.9),#006BB6,#ED174C,8.5,teams/PHI/logos/1964-1977.png,Won Division Semifinals versus <span>Cincinnati Royals (3-1)</span>,Won Division Finals versus <span>Boston Celtics (4-1)</span>,Won Finals versus <span>San Francisco Warriors (4-2)</span>,
