season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,opponent
1968-69,Phoenix Suns,Arizona Veterans Memorial Coliseum,16,0.195,0,R. Kerr,D. Van Arsdale (5.6),#E56020,#1D1160,-8.26,
1969-70,Phoenix Suns,Arizona Veterans Memorial Coliseum,39,0.476,0.4,R. Kerr/J. Colangelo,C. Hawkins (10.2),#E56020,#1D1160,-1.66,Los Angeles Lakers
1970-71,Phoenix Suns,Arizona Veterans Memorial Coliseum,48,0.585,0,C. Fitzsimmons,D. Van Arsdale (10.2),#E56020,#1D1160,2.33,
1971-72,Phoenix Suns,Arizona Veterans Memorial Coliseum,49,0.598,0,C. Fitzsimmons,P. Silas (11.0),#E56020,#1D1160,5.57,
1972-73,Phoenix Suns,Arizona Veterans Memorial Coliseum,38,0.463,0,B. Van Breda Kolff/J. Colangelo,D. Van Arsdale (8.7),#E56020,#1D1160,-0.96,
1973-74,Phoenix Suns,Arizona Veterans Memorial Coliseum,30,0.366,0,J. MacLeod,D. Van Arsdale (7.0),#E56020,#1D1160,-3.2,
1974-75,Phoenix Suns,Arizona Veterans Memorial Coliseum,32,0.39,0,J. MacLeod,C. Perry (7.6),#E56020,#1D1160,-2.36,
1975-76,Phoenix Suns,Arizona Veterans Memorial Coliseum,42,0.512,0.8,J. MacLeod,P. Westphal (9.6),#E56020,#1D1160,0.59,Boston Celtics
1976-77,Phoenix Suns,Arizona Veterans Memorial Coliseum,34,0.415,0,J. MacLeod,P. Westphal (9.6),#E56020,#1D1160,0.64,
1977-78,Phoenix Suns,Arizona Veterans Memorial Coliseum,49,0.598,0.2,J. MacLeod,W. Davis (10.1),#E56020,#1D1160,3.5,Milwaukee Bucks
1978-79,Phoenix Suns,Arizona Veterans Memorial Coliseum,50,0.61,0.6,J. MacLeod,P. Westphal (10.4),#E56020,#1D1160,3.55,Seattle SuperSonics
