season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,logo,opponent1,opponent2,opponent3,opponent4
1970-71,Portland Trail Blazers,Memorial Coliseum,29,0.354,0,R. Todd,G. Petrie (6.2),#E03A3E,#000000,-6.2,teams/POR/logos/1971-1990.png,,,,
1971-72,Portland Trail Blazers,Memorial Coliseum,18,0.22,0,R. Todd/S. Inman,D. Schlueter (6.3),#E03A3E,#000000,-8.84,teams/POR/logos/1971-1990.png,,,,
1972-73,Portland Trail Blazers,Memorial Coliseum,21,0.256,0,J. McCloskey,S. Wicks (5.6),#E03A3E,#000000,-5.67,teams/POR/logos/1971-1990.png,,,,
1973-74,Portland Trail Blazers,Memorial Coliseum,27,0.329,0,J. McCloskey,S. Wicks (5.6),#E03A3E,#000000,-4.3,teams/POR/logos/1971-1990.png,,,,
1974-75,Portland Trail Blazers,Memorial Coliseum,38,0.463,0,L. Wilkens,S. Wicks (9.7),#E03A3E,#000000,0.27,teams/POR/logos/1971-1990.png,,,,
1975-76,Portland Trail Blazers,Memorial Coliseum,37,0.451,0,L. Wilkens,S. Wicks (7.1),#E03A3E,#000000,-1.11,teams/POR/logos/1971-1990.png,,,,
1976-77,Portland Trail Blazers,Memorial Coliseum,49,0.598,1,J. Ramsay,B. Walton (10.2),#E03A3E,#000000,5.39,teams/POR/logos/1971-1990.png,Won First Round versus <span>Chicago Bulls (2-1)</span>,Won Conference Semifinals versus <span>Denver Nuggets (4-2)</span>,Won Conference Finals versus <span>Los Angeles Lakers (4-0)</span>,Won Finals versus <span>Philadelphia 76ers (4-2)</span>
1977-78,Portland Trail Blazers,Memorial Coliseum,58,0.707,0.4,J. Ramsay,B. Walton (8.4),#E03A3E,#000000,5.92,teams/POR/logos/1971-1990.png,First Round Bye,Lost Conference Semifinals versus <span>Seattle SuperSonics (2-4)</span>,,
1978-79,Portland Trail Blazers,Memorial Coliseum,45,0.549,0.2,J. Ramsay,T. Owens (10.4),#E03A3E,#000000,1.12,teams/POR/logos/1971-1990.png,Lost First Round versus <span>Phoenix Suns (1-2)</span>,,,
1979-80,Portland Trail Blazers,Memorial Coliseum,38,0.463,0.2,J. Ramsay,K. Washington (9.1),#E03A3E,#000000,-0.87,teams/POR/logos/1971-1990.png,Lost First Round versus <span>Seattle SuperSonics (1-2)</span>,,,
1980-81,Portland Trail Blazers,Memorial Coliseum,45,0.549,0.2,J. Ramsay,J. Paxson (7.7),#E03A3E,#000000,0.52,teams/POR/logos/1971-1990.png,Lost First Round versus <span>Kansas City Kings (1-2)</span>,,,
1981-82,Portland Trail Blazers,Memorial Coliseum,42,0.512,0,J. Ramsay,C. Natt (9.3),#E03A3E,#000000,0.39,teams/POR/logos/1971-1990.png,,,,
1982-83,Portland Trail Blazers,Memorial Coliseum,46,0.561,0.4,J. Ramsay,J. Paxson (10.2),#E03A3E,#000000,1.88,teams/POR/logos/1971-1990.png,Won First Round versus <span>Seattle SuperSonics (2-0)</span>,Lost Conference Semifinals versus <span>Los Angeles Lakers (1-4)</span>,,
1983-84,Portland Trail Blazers,Memorial Coliseum,48,0.585,0.2,J. Ramsay,J. Paxson (9.5),#E03A3E,#000000,3.13,teams/POR/logos/1971-1990.png,Lost First Round versus <span>Phoenix Suns (2-3)</span>,,,
1984-85,Portland Trail Blazers,Memorial Coliseum,42,0.512,0.4,J. Ramsay,K. Vandeweghe (8.4),#E03A3E,#000000,2.8,teams/POR/logos/1971-1990.png,Won First Round versus <span>Dallas Mavericks (3-1)</span>,Lost Conference Semifinals versus <span>Los Angeles Lakers (1-4)</span>,,
1985-86,Portland Trail Blazers,Memorial Coliseum,40,0.488,0.2,J. Ramsay,K. Vandeweghe (9.9),#E03A3E,#000000,0.61,teams/POR/logos/1971-1990.png,Lost First Round versus <span>Denver Nuggets (1-3)</span>,,,
1986-87,Portland Trail Blazers,Memorial Coliseum,49,0.598,0.2,M. Schuler,K. Vandeweghe (10.8),#E03A3E,#000000,2.57,teams/POR/logos/1971-1990.png,Lost First Round versus <span>Houston Rockets (1-3)</span>,,,
1987-88,Portland Trail Blazers,Memorial Coliseum,53,0.646,0.2,M. Schuler,C. Drexler (13.2),#E03A3E,#000000,3.59,teams/POR/logos/1971-1990.png,Lost First Round versus <span>Utah Jazz (1-3)</span>,,,
1988-89,Portland Trail Blazers,Memorial Coliseum,39,0.476,0.2,M. Schuler/R. Adelman,C. Drexler (12.6),#E03A3E,#000000,0.92,teams/POR/logos/1971-1990.png,Lost First Round versus <span>Los Angeles Lakers (0-3)</span>,,,
1989-90,Portland Trail Blazers,Memorial Coliseum,59,0.72,0.8,R. Adelman,T. Porter (11.7),#E03A3E,#000000,6.48,teams/POR/logos/1971-1990.png,Won First Round versus <span>Dallas Mavericks (3-0)</span>,Won Conference Semifinals versus <span>San Antonio Spurs (4-3)</span>,Won Conference Finals versus <span>Phoenix Suns (4-2)</span>,Lost Finals versus <span>Detroit Pistons (1-4)</span>
1990-91,Portland Trail Blazers,Memorial Coliseum,63,0.768,0.6,R. Adelman,T. Porter (13.0),#E03A3E,#000000,8.47,teams/POR/logos/1971-1990.png,Won First Round versus <span>Seattle SuperSonics (3-2)</span>,Won Conference Semifinals versus <span>Utah Jazz (4-1)</span>,Lost Conference Finals versus <span>Los Angeles Lakers (2-4)</span>,
1991-92,Portland Trail Blazers,Memorial Coliseum,57,0.695,0.8,R. Adelman,C. Drexler (12.8),#E03A3E,#000000,6.94,teams/POR/logos/1991-2002.png,Won First Round versus <span>Los Angeles Lakers (3-1)</span>,Won Conference Semifinals versus <span>Phoenix Suns (4-1)</span>,Won Conference Finals versus <span>Utah Jazz (4-2)</span>,Lost Finals versus <span>Chicago Bulls (2-4)</span>
1992-93,Portland Trail Blazers,Memorial Coliseum,51,0.622,0.2,R. Adelman,T. Porter (8.8),#E03A3E,#000000,2.92,teams/POR/logos/1991-2002.png,Lost First Round versus <span>San Antonio Spurs (1-3)</span>,,,
1993-94,Portland Trail Blazers,Memorial Coliseum,47,0.573,0.2,R. Adelman,R. Strickland (9.3),#E03A3E,#000000,2.6,teams/POR/logos/1991-2002.png,Lost First Round versus <span>Houston Rockets (1-3)</span>,,,
1994-95,Portland Trail Blazers,Memorial Coliseum,44,0.537,0.2,P. Carlesimo,C. Robinson (8.7),#E03A3E,#000000,3.8,teams/POR/logos/1991-2002.png,Lost First Round versus <span>Phoenix Suns (0-3)</span>,,,
