season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,logo,opponent1,opponent2,opponent3,opponent4
1948-49,Rochester Royals,Edgerton Park Arena,45,0.75,0.6,L. Harrison,A. Risen (10.6),#CC382C,#233E92,6.12,teams/SAC/logos/1949-1957.png,Won Division Semifinals versus <span>St. Louis Bombers (2-0)</span>,Lost Division Finals versus <span>Minneapolis Lakers (0-2)</span>,,
1949-50,Rochester Royals,Edgerton Park Arena,51,0.75,0.4,L. Harrison,B. Wanzer (10.5),#CC382C,#233E92,7.72,teams/SAC/logos/1949-1957.png,Lost Division Semifinals versus <span>Fort Wayne Pistons (0-2)</span>,,,
1950-51,Rochester Royals,Edgerton Park Arena,41,0.603,1,L. Harrison,A. Risen (9.3),#CC382C,#233E92,2.54,teams/SAC/logos/1949-1957.png,Won Division Semifinals versus <span>Fort Wayne Pistons (2-1)</span>,Won Division Finals versus <span>Minneapolis Lakers (3-1)</span>,Won Finals versus <span>New York Knicks (4-3)</span>,
1951-52,Rochester Royals,Edgerton Park Arena,41,0.621,0.6,L. Harrison,B. Wanzer (11.4),#CC382C,#233E92,2.92,teams/SAC/logos/1949-1957.png,Won Division Semifinals versus <span>Fort Wayne Pistons (2-0)</span>,Lost Division Finals versus <span>Minneapolis Lakers (1-3)</span>,,
1952-53,Rochester Royals,Edgerton Park Arena,44,0.629,0.4,L. Harrison,B. Wanzer (7.9),#CC382C,#233E92,2.62,teams/SAC/logos/1949-1957.png,Lost Division Semifinals versus <span>Fort Wayne Pistons (1-2)</span>,,,
1953-54,Rochester Royals,Edgerton Park Arena,44,0.611,0.6,L. Harrison,B. Wanzer (9.1),#CC382C,#233E92,2.24,teams/SAC/logos/1949-1957.png,Advanced from Division Round Robin,Lost Division Finals versus <span>Minneapolis Lakers (1-2)</span>,,
1954-55,Rochester Royals,Edgerton Park Arena,29,0.403,0.4,L. Harrison,J. Coleman (6.2),#CC382C,#233E92,-1.43,teams/SAC/logos/1949-1957.png,Lost Division Semifinals versus <span>Minneapolis Lakers (1-2)</span>,,,
1955-56,Rochester Royals,Rochester Community War Memorial,31,0.431,0,B. Wanzer,M. Stokes (6.0),#CC382C,#233E92,-2.61,teams/SAC/logos/1949-1957.png,,,,
1956-57,Rochester Royals,Rochester Community War Memorial,31,0.431,0,B. Wanzer,J. Twyman (8.8),#CC382C,#233E92,-2.08,teams/SAC/logos/1949-1957.png,,,,
1957-58,Cincinnati Royals,Cincinnati Gardens,33,0.458,0.4,B. Wanzer,C. Lovellette (10.1),#CC382C,#233E92,-1.47,teams/SAC/logos/1958-1971.png,Lost Division Semifinals versus <span>Detroit Pistons (0-2)</span>,,,
1958-59,Cincinnati Royals,Cincinnati Gardens,19,0.264,0,B. Wanzer/T. Marshall,J. Twyman (7.3),#CC382C,#233E92,-7.89,teams/SAC/logos/1958-1971.png,,,,
1959-60,Cincinnati Royals,Cincinnati Gardens,19,0.253,0,T. Marshall,J. Twyman (8.3),#CC382C,#233E92,-5.92,teams/SAC/logos/1958-1971.png,,,,
1960-61,Cincinnati Royals,Cincinnati Gardens,33,0.418,0,C. Wolf,O. Robertson (13.2),#CC382C,#233E92,-3.04,teams/SAC/logos/1958-1971.png,,,,
1961-62,Cincinnati Royals,Cincinnati Gardens,43,0.538,0.4,C. Wolf,O. Robertson (15.6),#CC382C,#233E92,1.28,teams/SAC/logos/1958-1971.png,Lost Division Semifinals versus <span>Detroit Pistons (1-3)</span>,,,
1962-63,Cincinnati Royals,Cincinnati Gardens,42,0.525,0.6,C. Wolf,O. Robertson (16.8),#CC382C,#233E92,1.24,teams/SAC/logos/1958-1971.png,Won Division Semifinals versus <span>Syracuse Nationals (3-2)</span>,Lost Division Finals versus <span>Boston Celtics (3-4)</span>,,
1963-64,Cincinnati Royals,Cincinnati Gardens,55,0.688,0.6,J. McMahon,O. Robertson (20.6),#CC382C,#233E92,4.43,teams/SAC/logos/1958-1971.png,Won Division Semifinals versus <span>Philadelphia 76ers (3-2)</span>,Lost Division Finals versus <span>Boston Celtics (1-4)</span>,,
1964-65,Cincinnati Royals,Cincinnati Gardens,48,0.6,0.4,J. McMahon,O. Robertson (17.0),#CC382C,#233E92,2.04,teams/SAC/logos/1958-1971.png,Lost Division Semifinals versus <span>Philadelphia 76ers (1-3)</span>,,,
