season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,opponent1,opponent2,opponent3,opponent4
1976-77,San Antonio Spurs,HemisFair Arena,44,0.537,0.2,D. Moe,G. Gervin (10.5),#C4CED4,#000000,0.53,Lost First Round versus <span>Boston Celtics (0-2)</span>,,,
1977-78,San Antonio Spurs,HemisFair Arena,52,0.634,0.4,D. Moe,G. Gervin (12.0),#C4CED4,#000000,3.2,First Round Bye,Lost Conference Semifinals versus <span>Washington Bullets (2-4)</span>,,
1978-79,San Antonio Spurs,HemisFair Arena,48,0.585,0.6,D. Moe,G. Gervin (11.4),#C4CED4,#000000,4.97,First Round Bye,Won Conference Semifinals versus <span>Philadelphia 76ers (4-3)</span>,Lost Conference Finals versus <span>Washington Bullets (3-4)</span>,
1979-80,San Antonio Spurs,HemisFair Arena,41,0.5,0.2,D. Moe/B. Bass,G. Gervin (10.6),#C4CED4,#000000,-0.24,Lost First Round versus <span>Houston Rockets (1-2)</span>,,,
1980-81,San Antonio Spurs,HemisFair Arena,52,0.634,0.4,S. Albeck,G. Gervin (10.5),#C4CED4,#000000,2.18,First Round Bye,Lost Conference Semifinals versus <span>Houston Rockets (3-4)</span>,,
1981-82,San Antonio Spurs,HemisFair Arena,48,0.585,0.6,S. Albeck,G. Gervin (10.7),#C4CED4,#000000,1.79,First Round Bye,Won Conference Semifinals versus <span>Seattle SuperSonics (4-1)</span>,Lost Conference Finals versus <span>Los Angeles Lakers (0-4)</span>,
1982-83,San Antonio Spurs,HemisFair Arena,53,0.646,0.6,S. Albeck,A. Gilmore (11.0),#C4CED4,#000000,3.1,First Round Bye,Won Conference Semifinals versus <span>Denver Nuggets (4-1)</span>,Lost Conference Finals versus <span>Los Angeles Lakers (2-4)</span>,
1983-84,San Antonio Spurs,HemisFair Arena,37,0.451,0,M. McHone/B. Bass,A. Gilmore (6.7),#C4CED4,#000000,-0.5,,,,
1984-85,San Antonio Spurs,HemisFair Arena,41,0.5,0.2,C. Fitzsimmons,A. Gilmore (10.5),#C4CED4,#000000,0.63,Lost First Round versus <span>Denver Nuggets (2-3)</span>,,,
1985-86,San Antonio Spurs,HemisFair Arena,35,0.427,0.2,C. Fitzsimmons,A. Robertson (8.6),#C4CED4,#000000,-2.06,Lost First Round versus <span>Los Angeles Lakers (0-3)</span>,,,
1986-87,San Antonio Spurs,HemisFair Arena,28,0.341,0,B. Weiss,D. Greenwood (6.2),#C4CED4,#000000,-5.09,,,,
1987-88,San Antonio Spurs,HemisFair Arena,31,0.378,0.2,B. Weiss,A. Robertson (5.8),#C4CED4,#000000,-5.02,Lost First Round versus <span>Los Angeles Lakers (0-3)</span>,,,
1988-89,San Antonio Spurs,HemisFair Arena,21,0.256,0,L. Brown,W. Anderson (4.9),#C4CED4,#000000,-7.45,,,,
1989-90,San Antonio Spurs,HemisFair Arena,56,0.683,0.4,L. Brown,D. Robinson (15.1),#C4CED4,#000000,3.58,Won First Round versus <span>Denver Nuggets (3-0)</span>,Lost Conference Semifinals versus <span>Portland Trail Blazers (3-4)</span>,,
1990-91,San Antonio Spurs,HemisFair Arena,55,0.671,0.2,L. Brown,D. Robinson (17.0),#C4CED4,#000000,4.3,Lost First Round versus <span>Golden State Warriors (1-3)</span>,,,
1991-92,San Antonio Spurs,HemisFair Arena,47,0.573,0.2,L. Brown/B. Bass,D. Robinson (13.9),#C4CED4,#000000,2.81,Lost First Round versus <span>Phoenix Suns (0-3)</span>,,,
1992-93,San Antonio Spurs,HemisFair Arena,49,0.598,0.4,J. Tarkanian/R. Hughes/J. Lucas,D. Robinson (13.2),#C4CED4,#000000,2.21,Won First Round versus <span>Portland Trail Blazers (3-1)</span>,Lost Conference Semifinals versus <span>Phoenix Suns (2-4)</span>,,
1993-94,San Antonio Spurs,Alamodome,55,0.671,0.2,J. Lucas,D. Robinson (20.0),#C4CED4,#000000,5.05,Lost First Round versus <span>Utah Jazz (1-3)</span>,,,
