season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,logo,opponent1,opponent2,opponent3,opponent4
1995-96,Toronto Raptors,SkyDome,21,0.256,0,B. Malone,T. Murray (4.9),#CE1141,#000000,-7.2,teams/TOR/logos/1996-2008.png,,,,
1996-97,Toronto Raptors,SkyDome,30,0.366,0,D. Walker,D. Stoudamire (7.6),#CE1141,#000000,-2.56,teams/TOR/logos/1996-2008.png,,,,
1997-98,Toronto Raptors,SkyDome,16,0.195,0,D. Walker/B. Carter,D. Christie (4.0),#CE1141,#000000,-8.33,teams/TOR/logos/1996-2008.png,,,,
1998-99,Toronto Raptors,Air Canada Centre,23,0.46,0,B. Carter,V. Carter (5.0),#CE1141,#000000,-1.32,teams/TOR/logos/1996-2008.png,,,,
1999-00,Toronto Raptors,Air Canada Centre,45,0.549,0.2,B. Carter,V. Carter (11.8),#CE1141,#000000,-0.46,teams/TOR/logos/1996-2008.png,Lost First Round versus <span>New York Knicks (0-3)</span>,,,
2000-01,Toronto Raptors,Air Canada Centre,47,0.573,0.4,L. Wilkens,V. Carter (12.9),#CE1141,#000000,1.69,teams/TOR/logos/1996-2008.png,Won First Round versus <span>New York Knicks (3-2)</span>,Lost Conference Semifinals versus <span>Philadelphia 76ers (3-4)</span>,,
2001-02,Toronto Raptors,Air Canada Centre,42,0.512,0.2,L. Wilkens,V. Carter (7.0),#CE1141,#000000,-0.71,teams/TOR/logos/1996-2008.png,Lost First Round versus <span>Detroit Pistons (2-3)</span>,,,
2002-03,Toronto Raptors,Air Canada Centre,24,0.293,0,L. Wilkens,A. Williams (5.5),#CE1141,#000000,-6.1,teams/TOR/logos/1996-2008.png,,,,
2003-04,Toronto Raptors,Air Canada Centre,33,0.402,0,K. O'Neill,D. Marshall (9.8),#CE1141,#000000,-3.42,teams/TOR/logos/1996-2008.png,,,,
2004-05,Toronto Raptors,Air Canada Centre,33,0.402,0,S. Mitchell,C. Bosh (6.8),#CE1141,#000000,-1.81,teams/TOR/logos/1996-2008.png,,,,
2005-06,Toronto Raptors,Air Canada Centre,27,0.329,0,S. Mitchell,C. Bosh (9.8),#CE1141,#000000,-3.03,teams/TOR/logos/1996-2008.png,,,,
