season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,opponent
1974-75,New Orleans Jazz,Municipal Auditorium,23,0.28,0,S. Robertson/E. Baylor/B. Van Breda Kolff,P. Maravich (3.9),#002B5C,#F9A01B,-7.3,
1975-76,New Orleans Jazz,Louisiana Superdome,38,0.463,0,B. Van Breda Kolff,P. Maravich (7.1),#002B5C,#F9A01B,-0.74,
1976-77,New Orleans Jazz,Louisiana Superdome,35,0.427,0,B. Van Breda Kolff/E. Baylor,P. Maravich (6.4),#002B5C,#F9A01B,-2.68,
1977-78,New Orleans Jazz,Louisiana Superdome,39,0.476,0,E. Baylor,T. Robinson (6.5),#002B5C,#F9A01B,-1.8,
1978-79,New Orleans Jazz,Louisiana Superdome,26,0.317,0,E. Baylor,R. Kelley (8.6),#002B5C,#F9A01B,-5.97,
1979-80,Utah Jazz,Salt Palace,24,0.293,0,T. Nissalke,A. Dantley (10.5),#002B5C,#F9A01B,-5.71,
1980-81,Utah Jazz,Salt Palace,28,0.341,0,T. Nissalke,A. Dantley (13.6),#002B5C,#F9A01B,-5.99,
1981-82,Utah Jazz,Salt Palace,25,0.305,0,T. Nissalke/F. Layden,A. Dantley (12.6),#002B5C,#F9A01B,-5.63,
1982-83,Utah Jazz,Salt Palace,30,0.366,0,F. Layden,R. Green (6.6),#002B5C,#F9A01B,-4.22,
1983-84,Utah Jazz,Salt Palace,45,0.549,0.4,F. Layden,A. Dantley (14.6),#002B5C,#F9A01B,0.81,Phoenix Suns
1984-85,Utah Jazz,Salt Palace,41,0.5,0.4,F. Layden,A. Dantley (8.0),#002B5C,#F9A01B,-0.33,Denver Nuggets
1985-86,Utah Jazz,Salt Palace,42,0.512,0.2,F. Layden,A. Dantley (12.8),#002B5C,#F9A01B,-0.67,Dallas Mavericks
1986-87,Utah Jazz,Salt Palace,44,0.537,0.2,F. Layden,K. Malone (6.9),#002B5C,#F9A01B,0.04,Golden State Warriors
1987-88,Utah Jazz,Salt Palace,47,0.573,0.4,F. Layden,J. Stockton (14.1),#002B5C,#F9A01B,2.96,Los Angeles Lakers
1988-89,Utah Jazz,Salt Palace,51,0.622,0.2,F. Layden/J. Sloan,J. Stockton (15.6),#002B5C,#F9A01B,4.01,Golden State Warriors
1989-90,Utah Jazz,Salt Palace,55,0.671,0.2,J. Sloan,K. Malone (15.9),#002B5C,#F9A01B,4.82,Phoenix Suns
1990-91,Utah Jazz,Salt Palace,54,0.659,0.4,J. Sloan,K. Malone (15.5),#002B5C,#F9A01B,3.18,Portland Trail Blazers
1991-92,Utah Jazz,Delta Center,55,0.671,0.6,J. Sloan,K. Malone (15.1),#002B5C,#F9A01B,5.7,Portland Trail Blazers
1992-93,Utah Jazz,Delta Center,47,0.573,0.2,J. Sloan,K. Malone (15.4),#002B5C,#F9A01B,1.74,Seattle SuperSonics
1993-94,Utah Jazz,Delta Center,53,0.646,0.6,J. Sloan,K. Malone (13.4),#002B5C,#F9A01B,4.1,Houston Rockets
