season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,logo,opponent1,opponent2,opponent3,opponent4
1961-62,Chicago Packers,International Amphitheatre,18,0.225,0,J. Pollard,W. Bellamy (16.3),#E31837,#002B5C,-7.54,teams/WAS/logos/1962.png,,,,
1962-63,Chicago Zephyrs,Chicago Coliseum,25,0.313,0,J. McMahon/S. Leonard,W. Bellamy (13.7),#E31837,#002B5C,-3.63,teams/WAS/logos/1963.png,,,,
1963-64,Baltimore Bullets,Baltimore Civic Center,31,0.388,0,S. Leonard,W. Bellamy (14.4),#E31837,#002B5C,-1.59,teams/WAS/logos/1964-1968.png,,,,
1964-65,Baltimore Bullets,Baltimore Civic Center,37,0.463,0.6,B. Jeannette,W. Bellamy (12.1),#E31837,#002B5C,-1.97,teams/WAS/logos/1964-1968.png,Won Division Semifinals versus <span>St. Louis Hawks (3-1)</span>,Lost Division Finals versus <span>Los Angeles Lakers (2-4)</span>,,
1965-66,Baltimore Bullets,Baltimore Civic Center,38,0.475,0.4,P. Seymour,B. Howell (8.7),#E31837,#002B5C,-1.06,teams/WAS/logos/1964-1968.png,Lost Division Semifinals versus <span>St. Louis Hawks (0-3)</span>,,,
1966-67,Baltimore Bullets,Baltimore Civic Center,20,0.247,0,M. Farmer/B. Jeannette/G. Shue,G. Johnson (5.0),#E31837,#002B5C,-5.87,teams/WAS/logos/1964-1968.png,,,,
1967-68,Baltimore Bullets,Baltimore Civic Center,36,0.439,0,G. Shue,E. Monroe (9.3),#E31837,#002B5C,-0.23,teams/WAS/logos/1964-1968.png,,,,
1968-69,Baltimore Bullets,Baltimore Civic Center,57,0.695,0.4,G. Shue,W. Unseld (10.8),#E31837,#002B5C,4.05,teams/WAS/logos/1969.png,Lost Division Semifinals versus <span>New York Knicks (0-4)</span>,,,
1969-70,Baltimore Bullets,Baltimore Civic Center,50,0.61,0.4,G. Shue,W. Unseld (11.1),#E31837,#002B5C,1.94,teams/WAS/logos/1970-1971.png,Lost Division Semifinals versus <span>New York Knicks (3-4)</span>,,,
1970-71,Baltimore Bullets,Baltimore Civic Center,42,0.512,0.8,G. Shue,W. Unseld (10.0),#E31837,#002B5C,0.91,teams/WAS/logos/1970-1971.png,Won Conference Semifinals versus <span>Philadelphia 76ers (4-3)</span>,Won Conference Finals versus <span>New York Knicks (4-3)</span>,Lost Finals versus <span>Milwaukee Bucks (0-4)</span>,
